Perfil;Tipo;Orden;Posición;Jugador;Club;Rival;Local;Matchup score;Predicción Modelo C;Score;Score selección;Historial;Participaciones últimos 3;Titulares últimos 3;Promedio;P90;Factor contexto;Factor confianza;Score diversidad;Usado en otros equipos;Score FLEX;FLEX repetido;FLEX usado antes;Titular mismo equipo;Titular otro equipo;Sim promedio;Sim P50;Sim P90;Sim mínimo;Sim máximo;Prob ≥100;Prob ≥140
INTERMEDIO;FLEX;0;DEF;Gastón Ávila;Rosario Central;Argentinos Juniors;TRUE;;;12.689;10.732;22;3;3;10.43;15.311;1.088;1.0;;;10.732;FALSE;0;FALSE;FALSE;;;;;;;
INTERMEDIO;FLEX;0;VOL;Thiago Almada;River Plate;Huracán;TRUE;;;18.835;14.772;5;3;3;16.295;20.403;1.086;0.971;;;12.113;FALSE;0;FALSE;TRUE;;;;;;;
INTERMEDIO;FLEX;0;VOL;Santiago Gabriel Montiel;Independiente;Unión;FALSE;;;14.629;11.755;21;3;3;9.602;18.77;1.088;1.0;;;11.755;FALSE;0;FALSE;FALSE;;;;;;;
INTERMEDIO;FLEX;0;DEL;Sebastián Driussi;River Plate;Huracán;TRUE;;;10.544;9.523;19;3;3;8.478;15.705;1.086;1.0;;;9.523;FALSE;0;FALSE;FALSE;;;;;;;
INTERMEDIO;FLEX;0;DEL;Cristian Alberto Tarragona;Unión;Independiente;TRUE;;;9.611;9.418;27;2;2;9.033;16.12;0.85;1.0;;;9.418;FALSE;0;FALSE;FALSE;;;;;;;
ARRIESGADO;TITULAR;1;ARQ;Nahuel Losada;Lanús;Estudiantes;TRUE;;7.521;13.652;13.346;26;3;3;9.051;16.022;1.08;1.0;13.346;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;2;DEF;Sasha Marcich;Lanús;Estudiantes;TRUE;;6.218;13.785;13.751;27;3;3;9.984;16.438;1.08;1.0;13.751;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;3;DEF;Sebastián Zaracho;Rosario Central;Argentinos Juniors;TRUE;;6.218;11.159;13.198;2;3;0;9.93;17.37;1.088;0.958;13.198;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;4;DEF;Gastón Ávila;Rosario Central;Argentinos Juniors;TRUE;;6.218;12.689;12.928;22;3;3;10.43;15.311;1.088;1.0;12.928;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;5;VOL;Tomás Galván;River Plate;Huracán;TRUE;;6.154;14.395;15.369;28;3;3;9.355;17.949;1.086;1.0;15.369;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;6;VOL;Santiago Gabriel Montiel;Independiente;Unión;FALSE;;6.154;14.629;14.791;21;3;3;9.602;18.77;1.088;1.0;14.791;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;7;VOL;Julián Mavilla;Sarmiento;Racing Club;FALSE;;6.154;12.463;14.098;7;3;3;11.831;18.091;0.959;0.976;14.098;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;8;DEL;Ignacio Russo;Tigre;Vélez Sarsfield;FALSE;;5.577;8.223;13.155;26;3;3;7.729;15.802;0.85;1.0;13.155;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;9;DEL;Sebastián Driussi;River Plate;Huracán;TRUE;;5.577;10.544;12.524;19;3;3;8.478;15.705;1.086;1.0;12.524;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;TITULAR;10;DEL;Cristian Alberto Tarragona;Unión;Independiente;TRUE;;5.577;9.611;12.367;27;2;2;9.033;16.12;0.85;1.0;12.367;0;;;;;;145.961;145.77;176.059;66.384;239.365;97.9;60.06
ARRIESGADO;FLEX;0;DEF;Lucas Blondel;Huracán;River Plate;FALSE;;;12.687;12.916;20;3;3;9.292;15.972;1.015;1.0;;;12.916;FALSE;0;FALSE;FALSE;;;;;;;
ARRIESGADO;FLEX;0;DEF;Francisco Álvarez;Argentinos Juniors;Rosario Central;FALSE;;;10.038;12.812;28;3;3;11.209;16.071;0.85;1.0;;;12.812;FALSE;0;FALSE;FALSE;;;;;;;
ARRIESGADO;FLEX;0;VOL;Matías Pellegrini;Vélez Sarsfield;Tigre;TRUE;;;12.731;14.069;20;2;2;8.948;16.894;1.081;1.0;;;14.069;FALSE;0;FALSE;FALSE;;;;;;;
ARRIESGADO;FLEX;0;VOL;Marcelino Moreno;Lanús;Estudiantes;TRUE;;;10.792;13.956;10;1;0;9.447;18.799;1.08;0.986;;;13.956;FALSE;0;FALSE;FALSE;;;;;;;
ARRIESGADO;FLEX;0;DEL;Joaquín Tobio Burgos;Estudiantes;Lanús;FALSE;;;6.84;11.662;18;3;1;6.998;15.043;0.85;1.0;;;11.662;FALSE;0;FALSE;FALSE;;;;;;;
ARRIESGADO;FLEX;0;DEL;Agustín Álvarez;Talleres;Instituto;FALSE;;;6.854;11.46;5;3;3;6.314;15.284;0.85;0.969;;;11.46;FALSE;0;FALSE;FALSE;;;;;;;
