match_id,status_type,team_id,team_name,is_home,result,home_score,away_score,player_id,player_name,position,substitute,minutesPlayed,rating,goals,penalty_goals,goalAssist,expectedGoals,expectedAssists,totalShots,onTargetScoringAttempt,bigChanceCreated,bigChanceMissed,keyPass,hitWoodwork,duelWon,duelLost,unsuccessfulTouch,dispossessed,progressiveBallCarriesCount,ballCarriesCount,errorLeadToAShot,errorLeadToAGoal,wonTackle,interceptionWon,ballRecovery,totalClearance,blockedScoringAttempt,accuratePass,totalPass,accurateLongBalls,totalLongBalls,accurateCross,totalCross,accurateOppositionHalfPasses,yellow_card,red_card,yellow_red,discipline_points,fouls,wasFouled,penaltyWon,penaltyConceded,penaltyMiss,possessionLostCtrl,aerialWon,aerialLost,challengeLost,outfielderBlock,clearanceOffLine,ownGoals,totalOffside,saves,team_clean_sheet,goals_conceded_while_playing,goals_for_while_playing
15269902,finished,36836,Aldosivi,True,W,0,0,1404549,Federico Laurelli,D,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0
15269902,finished,36836,Aldosivi,True,W,0,0,924736,Mauro Da Luz,F,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0
15269902,finished,36836,Aldosivi,True,W,0,0,1184847,Facundo De La Vega,F,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0
15269902,finished,36836,Aldosivi,True,W,0,0,860051,Nicolás Cordero,F,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0
15269902,finished,36836,Aldosivi,True,W,0,0,2020674,David Juárez,M,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,881111,Cristopher Fiermarín,G,False,90.0,7.6,,0,0.0,,,0,,,,,,,,,,,2.0,,,,,11.0,1.0,,11.0,21.0,4.0,14.0,,,1.0,0,0,0,0,,,,,,10.0,,,,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,1020523,Lucas Souto,D,False,90.0,6.9,,0,0.0,,,1,,,,,,6.0,5.0,1.0,1.0,,13.0,,,1.0,5.0,3.0,6.0,,24.0,32.0,3.0,7.0,,1.0,5.0,0,0,0,0,1.0,1.0,,,,12.0,4.0,2.0,,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,989201,Damián Fernández,D,False,89.0,7.7,,0,0.0,,,0,,,,,,7.0,2.0,,,2.0,13.0,,,3.0,1.0,5.0,13.0,,31.0,41.0,8.0,15.0,,,13.0,0,0,0,0,,,,,,10.0,4.0,1.0,1.0,1.0,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,909479,David Martínez,D,False,90.0,7.5,,0,0.0,,,1,,,,1.0,,7.0,4.0,3.0,1.0,,8.0,,,3.0,1.0,4.0,7.0,,30.0,41.0,3.0,10.0,,,14.0,0,0,0,0,1.0,1.0,,,,15.0,1.0,2.0,,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,1092590,Ayrton Portillo,M,False,90.0,6.5,,0,0.0,,,1,,,,1.0,,5.0,4.0,,1.0,4.0,14.0,,,,,2.0,1.0,1.0,15.0,24.0,1.0,5.0,2.0,6.0,7.0,0,0,0,0,1.0,2.0,,,,22.0,,,,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,1893308,Santiago Sosa,M,False,90.0,6.9,,0,0.0,,,1,,,,,,3.0,3.0,1.0,,,6.0,,,1.0,,1.0,4.0,,17.0,28.0,1.0,5.0,,1.0,7.0,0,0,0,0,,2.0,,,,14.0,,1.0,1.0,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,922455,Julián López,M,False,90.0,6.4,,0,0.0,,,0,,,,,,2.0,4.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,3.0,,10.0,15.0,,3.0,,,6.0,0,0,0,0,1.0,,,,,8.0,1.0,1.0,1.0,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,922450,Elías Pereyra,M,False,76.0,6.7,,0,0.0,,,0,,,,,,5.0,6.0,1.0,1.0,1.0,8.0,,,2.0,1.0,3.0,,,19.0,27.0,1.0,4.0,,1.0,14.0,0,0,0,0,,1.0,,,,14.0,1.0,1.0,3.0,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,249829,Rubén Botta,F,False,76.0,7.2,,0,0.0,,,3,1.0,1.0,,2.0,,2.0,1.0,3.0,1.0,,6.0,,,1.0,,2.0,1.0,1.0,16.0,24.0,,1.0,2.0,7.0,14.0,0,0,0,0,,1.0,,,,18.0,,,,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,933434,Juan Manuel Gutiérrez,F,False,64.0,6.8,,0,0.0,,,1,,,,1.0,,4.0,3.0,2.0,,,3.0,,,,1.0,,1.0,1.0,8.0,12.0,,1.0,,2.0,8.0,0,0,0,0,1.0,3.0,,,,9.0,,,1.0,,,,,0,True,0,0
15269902,finished,36839,Defensa y Justicia,False,L,0,0,1003721,Juan Miritello,F,False,89.0,6.6,,0,0.0,,,1,,,1.0,1.0,,4.0,4.0,2.0,2.0,,7.0,,,,,3.0,,,13.0,18.0,1.0,1.0,,,6.0,0,0,0,0,,2.0,,,,10.0,2.0,1.0,,,,,,0,True,0,0
