player_id,player_name,team_id,team_name,position,rival,es_local,partidos_historicos,partidos_club_ultimos_3,participaciones_ultimos_3,activo_ultimos_3,titulares_ultimos_3,titular_2_de_3,weighted_recent,promedio,p90,std,minimo,maximo,confianza,estabilidad,factor_confianza,factor_contexto,score_base,score_contextual,starter_fecha10
p_3lQo2d,Marcos Ledesma,t_2rXlDo,Instituto,ARQ,Talleres,True,10,3,3,True,3,True,5.96956,8.839229999999999,12.049679999999999,3.31628605020402,3.0985,13.0368,0.8796694652934813,0.2316806598007406,0.9879669465293481,1.1179999999999999,8.637457999999999,9.540478720747675,True
p_1xKto7,Jonathan Galván,t_2rXlDo,Instituto,DEF,Talleres,True,23,3,3,True,3,True,9.77416,7.930234782608696,11.205060000000001,3.368084722483401,2.12,14.8087,1.0,0.22893328850807337,1.0,1.1179999999999999,9.394314913043479,10.502844072782608,True
p_3x6Yqh,Leonel Mosevich,t_2rXlDo,Instituto,DEF,Talleres,True,26,3,3,True,3,True,16.220493333333334,9.020226923076923,13.5747,4.532609317870464,2.9167,19.3028,1.0,0.18074654155860517,1.0,1.1179999999999999,12.678938435897436,14.175053171333332,True
p_1qCu0J,Fernando Alarcón,t_2rXlDo,Instituto,DEF,Talleres,True,23,3,3,True,3,True,8.664746666666668,9.128026086956522,14.38236,4.542685331108722,0.583,15.9925,1.0,0.18041796354330772,1.0,1.1179999999999999,10.279461768115942,11.492438256753623,True
p_3I0XnJ,Giuliano Cerato,t_2rXlDo,Instituto,VOL,Talleres,True,26,3,3,True,3,True,15.631686666666667,12.425053846153844,17.852,4.899593689948649,3.3454,24.22,1.0,0.16950319844970616,1.0,1.1179999999999999,14.904111871794871,16.662797072666663,True
p_287xJj,Gustavo Abregú,t_2rXlDo,Instituto,VOL,Talleres,True,24,3,3,True,3,True,9.160406666666667,8.435608333333333,11.70599,3.5906367335197595,2.4712,16.18,1.0,0.21783470530312996,1.0,1.1179999999999999,9.506883166666666,10.628695380333331,True
p_4T6aUk,Ignacio Méndez,t_2rXlDo,Instituto,VOL,Talleres,True,20,3,3,True,2,True,8.282313333333333,5.11999,11.8252,3.5053508309890735,1.218,13.658,1.0,0.22195829748079063,1.0,1.1179999999999999,7.903105666666667,8.835672135333333,True
p_39c8jY,Diego Sosa,t_2rXlDo,Instituto,DEF,Talleres,True,26,3,3,True,3,True,11.9546,11.008746153846154,16.06815,4.052048661428514,4.0545,18.764,1.0,0.19793950276742597,1.0,1.1179999999999999,12.604645961538463,14.091994184999999,True
p_28dMyW,Jeremías Lázaro,t_2rXlDo,Instituto,VOL,Talleres,True,21,3,3,True,2,True,5.720980000000001,5.922819047619048,12.8723,5.306683450105069,0.246,21.9371,1.0,0.15856194589619685,1.0,1.1179999999999999,7.589545619047619,8.485112002095237,True
p_0t17ZI,Alex Luna,t_2rXlDo,Instituto,DEL,Talleres,True,24,3,3,True,3,True,10.212033333333332,8.137104166666667,14.354,4.743386530691664,-0.99,14.8326,1.0,0.17411330312807138,1.0,1.1179999999999999,10.417553333333332,11.646824626666664,True
p_4Dwu6c,Matías Tissera,t_2rXlDo,Instituto,DEL,Talleres,True,16,3,3,True,3,True,3.5740866666666666,4.128712500000001,9.79765,4.131471654810184,-0.1371,13.8412,1.0,0.19487586939364873,1.0,1.1179999999999999,5.351827833333334,5.9833435176666665,True
