player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Alan Barrionuevo,Tigre,DEF,24,8.603,8.559
Lautaro Rivero,River Plate,DEF,21,8.236,8.559
Lisandro Magallán,Vélez Sarsfield,DEF,20,8.355,8.532
Sebastián Valdez,CA Independiente,DEF,16,8.188,8.421
Fernando Alarcón,Instituto De Córdoba,DEF,23,8.693,8.421
Lautaro Giannetti,Newell's Old Boys,DEF,9,8.608,8.399
Federico Álvarez,Tigre,DEF,19,8.492,8.392
Valentín Moreno,Tigre,DEF,16,8.229,8.377
Ezequiel Muñoz,Gimnasia y Esgrima Mendoza,DEF,22,8.363,8.37
Nicolás Zalazar,Aldosivi,DEF,20,8.418,8.366
Santiago Núñez,Estudiantes de La Plata,DEF,18,8.519,8.363
Joaquín García,Vélez Sarsfield,DEF,21,8.447,8.336
Marco Pellegrino,Boca Juniors,DEF,10,7.932,8.332
Maizon Rodriguez,Club Atlético Unión de Santa Fe,DEF,23,8.272,8.296
Eugenio Raggio,Club Atlético Platense,DEF,8,8.195,8.294
Marcos Rojo,Racing Club,DEF,17,8.169,8.263
Juan Barinaga,Boca Juniors,DEF,9,8.022,8.258
Leandro González Pírez,Estudiantes de La Plata,DEF,18,8.027,8.153
Danilo Arboleda,Banfield,DEF,16,8.313,8.142
Gabriel Báez,CA Talleres,DEF,13,8.116,8.125
Juan Pablo Ludueña,Club Atlético Unión de Santa Fe,DEF,26,8.21,8.114
Kevin Jappert,Barracas Central,DEF,19,8.237,8.097
Ignacio Ovando,Rosario Central,DEF,23,8.113,8.076
Matías Catalán,CA Talleres,DEF,20,8.068,8.067
Saúl Salcedo,Newell's Old Boys,DEF,14,7.783,8.052
Ezequiel Herrera,San Lorenzo,DEF,22,8.166,8.027
Armando Méndez,Newell's Old Boys,DEF,14,8.112,8.022
Yonatthan Rak,Barracas Central,DEF,12,7.721,8.022
Eric Meza,Estudiantes de La Plata,DEF,20,7.703,8.018
Adrián Spörle,Club Atlético Belgrano,DEF,25,7.894,8.002
Máximo Palazzo,Huracán,DEF,17,7.599,7.981
Lucas Carrizo,Huracán,DEF,16,8.016,7.974
Leonel Mosevich,Instituto De Córdoba,DEF,26,8.02,7.973
Dylan Gorosito,Boca Juniors,DEF,6,8.327,7.944
Lucas Ayala,Club Atlético Unión de Santa Fe,DEF,7,8.069,7.933
Kevin Lomónaco,CA Independiente,DEF,23,7.939,7.91
Ayrton Costa,Boca Juniors,DEF,17,7.712,7.902
Emiliano Amor,Defensa y Justicia,DEF,15,7.499,7.878
Fernando Román,Defensa y Justicia,DEF,9,7.66,7.87
Emiliano Amor,San Lorenzo,DEF,7,7.853,7.869
Fabio Pereyra,Huracán,DEF,21,7.602,7.864
Valentín Loza,Defensa y Justicia,DEF,7,7.83,7.842
Nicolás Demartini,Barracas Central,DEF,19,7.757,7.827
Román Riquelme,CA Talleres,DEF,4,7.97,7.803
Santiago Fernandez,CA Talleres,DEF,18,7.566,7.798
Brandon Oviedo,Banfield,DEF,9,7.339,7.777
Clever Ferreira,Atlético Tucumán,DEF,19,7.722,7.775
Maximiliano Villa,Atlético Tucumán,DEF,16,7.691,7.771
Germán Conti,Gimnasia y Esgrima,DEF,9,7.945,7.748
Emanuel Mammana,Vélez Sarsfield,DEF,22,7.829,7.734
Joaquin Pereyra,Estudiantes de La Plata,DEF,4,7.001,7.734
Nahuel Banegas,Tigre,DEF,12,7.53,7.731
Agustín Seyral,Sarmiento,DEF,11,7.301,7.702
Marco Di Cesare,Racing Club,DEF,17,7.822,7.688
Leonardo Morales,Club Atlético Belgrano,DEF,27,7.787,7.676
Víctor Cuesta,Club Atlético Platense,DEF,14,7.889,7.646
Jonathan Galván,Instituto De Córdoba,DEF,23,7.632,7.635
Gonzalo Maffini,Estudiantes de Río Cuarto,DEF,21,7.469,7.602
Jhohan Romaña,San Lorenzo,DEF,15,7.738,7.598
Cristian Paz,Deportivo Riestra,DEF,25,7.549,7.595
Renzo Giampaoli,Gimnasia y Esgrima,DEF,21,7.49,7.58
Juan Miguel Arrayago,CA Independiente,DEF,5,7.73,7.572
Gonzalo Perez,CA Lanús,DEF,13,6.971,7.571
Augusto Schott,CA Talleres,DEF,24,7.406,7.568
Sergio Vittor,Banfield,DEF,13,7.465,7.564
Diego Mondino,Gimnasia y Esgrima Mendoza,DEF,18,7.71,7.529
Santiago Arias,CA Independiente,DEF,18,7.406,7.524
Franco Saavedra,Gimnasia y Esgrima Mendoza,DEF,13,7.52,7.489
Elías López,Aldosivi,DEF,7,7.151,7.416
Marcelo Weigandt,Boca Juniors,DEF,11,8.233,7.4
Tomás Fagioli,Club Atlético Unión de Santa Fe,DEF,4,7.182,7.334
Juan Villalba,Tigre,DEF,8,7.024,7.331
Renzo Orihuela,Sarmiento,DEF,14,7.454,7.315
