player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Alfio Oviedo,Tigre,DEL,13,1.253,1.035
Benjamin Acosta,CA Lanús,DEL,3,0.72,0.775
Thomas de Martis,CA Lanús,DEL,5,0.451,0.745
Ramón Ábila,Estudiantes de Río Cuarto,DEL,8,0.65,0.663
José Ingratti,Deportivo Riestra,DEL,1,0.642,0.642
Benjamín Bosch,Club Atlético Platense,DEL,2,0.524,0.624
Lucas Román,Atlético Tucumán,DEL,1,0.2,0.2
Jorge de Asis,Gimnasia y Esgrima,DEL,2,-0.208,-0.562
Thiago Almada,River Plate,VOL,5,12.795,12.84
Leandro Paredes,Boca Juniors,VOL,20,10.795,10.637
Franco Ibarra,Rosario Central,VOL,25,10.877,10.633
Gastón Lodico,Instituto De Córdoba,VOL,15,10.113,10.507
Kevin Gutiérrez,Argentinos Juniors,VOL,9,9.958,10.486
Giuliano Cerato,Instituto De Córdoba,VOL,26,10.521,10.469
Rodrigo Fernández,Huracán,VOL,7,9.888,10.09
Federico Fattori,Argentinos Juniors,VOL,19,10.216,10.009
Tobías Andrada,River Plate,VOL,6,9.845,9.762
Ángel Di María,Rosario Central,VOL,22,9.81,9.707
Cristian Zabala,Sarmiento,VOL,23,9.329,9.308
Iván Marcone,CA Independiente,VOL,23,9.061,9.224
Julián Mavilla,Sarmiento,VOL,7,9.045,9.195
Aníbal Moreno,River Plate,VOL,24,9.311,9.154
Lucas Zelarayán,Club Atlético Belgrano,VOL,24,9.236,9.126
Jalil Elias,Estudiantes de La Plata,VOL,1,9.103,9.103
Ángel Correa,River Plate,VOL,8,8.03,9.067
Nicolas Oroz,Argentinos Juniors,VOL,27,8.826,9.038
Santiago Sosa,Racing Club,VOL,20,9.048,9.022
Tobías Andrada,Vélez Sarsfield,VOL,17,8.743,8.938
Matias Galarza,CA Talleres,VOL,24,8.999,8.915
Malcom Braida,Boca Juniors,VOL,7,9.108,8.804
Fausto Vera,River Plate,VOL,23,8.471,8.796
Agustín Cardozo,CA Lanús,VOL,23,8.593,8.769
José Florentín,Independiente Rivadavia,VOL,24,8.548,8.557
Facundo Waller,Huracán,VOL,23,8.604,8.532
Alan Lescano,Argentinos Juniors,VOL,25,8.588,8.458
Ignacio Miramón,Gimnasia y Esgrima,VOL,22,8.299,8.406
Nicolás Tripichio,San Lorenzo,VOL,25,8.321,8.335
Nicolás Barros Schelotto,Gimnasia y Esgrima,VOL,21,8.22,8.327
Facundo Lencioni,Gimnasia y Esgrima Mendoza,VOL,25,8.264,8.281
Vicente Pizarro,Rosario Central,VOL,27,8.354,8.127
Ezequiel Piovi,Estudiantes de La Plata,VOL,22,8.267,8.104
Leonardo Gil,Huracán,VOL,27,8.071,8.029
Jaminton Campaz,Rosario Central,VOL,20,8.156,7.965
Julián Palacios,Club Atlético Unión de Santa Fe,VOL,24,8.089,7.962
Ignacio Malcorra,CA Independiente,VOL,15,7.765,7.885
Enzo Giménez,Rosario Central,VOL,17,7.956,7.85
Luca Regiardo,Newell's Old Boys,VOL,20,7.949,7.828
Manuel Lanzini,Vélez Sarsfield,VOL,25,7.739,7.818
Ignacio Malcorra,Club Atlético Unión de Santa Fe,VOL,7,8.22,7.798
Augusto Max,Gimnasia y Esgrima,VOL,21,7.74,7.782
Leonel Vega,Atlético Tucumán,VOL,13,8.147,7.773
César Pérez,Defensa y Justicia,VOL,12,7.752,7.7
Maximiliano Amarfil,Club Atlético Platense,VOL,16,7.528,7.698
Milton Delgado,Boca Juniors,VOL,22,7.715,7.622
Rafael Profini,Club Atlético Unión de Santa Fe,VOL,18,7.417,7.617
Tomás Galván,River Plate,VOL,28,7.294,7.591
Tomás Bottari,Independiente Rivadavia,VOL,19,7.607,7.541
Santiago Sosa,Defensa y Justicia,VOL,24,7.603,7.502
Mauro Pittón,Club Atlético Unión de Santa Fe,VOL,18,7.617,7.486
Milton Celiz,Deportivo Riestra,VOL,10,7.246,7.482
Juan Sforza,CA Talleres,VOL,19,7.04,7.393
Gustavo Abregú,Instituto De Córdoba,VOL,24,7.477,7.351
Oscar Cortés,Huracán,VOL,26,7.226,7.322
Manuel Insaurralde,San Lorenzo,VOL,12,7.62,7.217
Mauricio Martínez,Sarmiento,VOL,19,7.274,7.183
Francisco Romero,Estudiantes de Río Cuarto,VOL,15,7.282,7.149
Alejandro Cabrera,Estudiantes de Río Cuarto,VOL,16,7.556,7.148
Nicolás Laméndola,Atlético Tucumán,VOL,23,6.974,7.127
Tomás Porra,Barracas Central,VOL,26,7.101,7.041
Ander Herrera,Boca Juniors,VOL,9,6.941,7.035
Emmanuel Ojeda,Huracán,VOL,19,7.022,7.007
Franco Vázquez,Club Atlético Belgrano,VOL,26,6.933,6.966
Matías Vera,Central Córdoba,VOL,24,7.01,6.924
Rodrigo Insúa,Barracas Central,VOL,25,6.78,6.845
Williams Alarcón,Boca Juniors,VOL,8,6.25,6.831
Claudio Baeza,Vélez Sarsfield,VOL,20,6.858,6.784
Jalil Elias,Tigre,VOL,19,6.746,6.732
Franco Zapiola,Club Atlético Platense,VOL,22,6.533,6.718
Santiago Ascacíbar,Boca Juniors,VOL,21,6.886,6.716
Bruno Leyes,Tigre,VOL,19,7.027,6.702
Tiago Palacios,Estudiantes de La Plata,VOL,18,6.536,6.674
Matías Fernández,Independiente Rivadavia,VOL,22,6.855,6.651
Rodrigo Aliendro,Vélez Sarsfield,VOL,25,6.46,6.621
Lucas Robertone,Vélez Sarsfield,VOL,23,6.65,6.616
Walter Mazzantti,Newell's Old Boys,VOL,17,7.069,6.615
Mateo Seoane,Gimnasia y Esgrima,VOL,13,6.752,6.591
Martín Garay,Tigre,VOL,18,6.625,6.564
Franco Cristaldo,CA Talleres,VOL,17,6.505,6.543
Santiago González,Tigre,VOL,9,6.315,6.533
Matías Pellegrini,Vélez Sarsfield,VOL,19,6.418,6.53
Carlos Palacios,Boca Juniors,VOL,2,5.881,6.484
Iván Tapia,Barracas Central,VOL,26,6.402,6.365
Camilo Rey Domenech,Boca Juniors,VOL,7,5.616,6.344
Lucas Menossi,Club Atlético Unión de Santa Fe,VOL,14,6.208,6.342
Martín Barrios,Club Atlético Platense,VOL,14,6.019,6.333
Tomas Adoryan,Banfield,VOL,20,6.338,6.303
Gastón Lodico,Racing Club,VOL,5,6.86,6.284
Diego Valdés,Vélez Sarsfield,VOL,18,6.272,6.28
Federico Fattori,CA Talleres,VOL,6,6.614,6.279
Pol Fernández,Rosario Central,VOL,16,6.148,6.26
Mikel Amondarain,Estudiantes de La Plata,VOL,16,6.214,6.25
Esteban Fernández,Gimnasia y Esgrima Mendoza,VOL,17,6.139,6.209
Santiago Longo,Club Atlético Belgrano,VOL,19,6.03,6.203
Julian Ceballos,Gimnasia y Esgrima Mendoza,VOL,12,5.952,6.202
Ivan Gómez,Club Atlético Platense,VOL,12,6.607,6.194
Kevin Ortíz,Atlético Tucumán,VOL,15,6.232,6.184
Alexis Castro,Estudiantes de La Plata,VOL,24,6.027,6.18
Gabriel Neves,Estudiantes de La Plata,VOL,18,6.622,6.145
Felipe Peña Biafore,CA Lanús,VOL,26,6.011,6.125
Eduardo Salvio,CA Lanús,VOL,26,6.184,6.116
Jabes Saralegui,Tigre,VOL,17,6.139,6.049
Esteban Rolón,Aldosivi,VOL,14,5.736,6.045
Lucas González,Central Córdoba,VOL,23,5.829,6.008
Matías Gallardo,Instituto De Córdoba,VOL,17,6.359,5.941
Rodrigo Herrera,Newell's Old Boys,VOL,20,5.674,5.911
Jeremías Lucco,Defensa y Justicia,VOL,5,5.673,5.896
Ulises Ortegoza,Racing Club,VOL,10,5.572,5.823
Tomás Belmonte,Boca Juniors,VOL,14,5.978,5.822
Santiago López,Tigre,VOL,24,5.82,5.818
Rick,CA Talleres,VOL,23,5.798,5.807
Francisco González Metilli,Club Atlético Belgrano,VOL,21,5.693,5.765
Fermin Antonini,Gimnasia y Esgrima Mendoza,VOL,21,5.946,5.754
José Sosa,Estudiantes de La Plata,VOL,12,5.692,5.739
Pablo Monje,Deportivo Riestra,VOL,22,5.805,5.677
Ulises Ortegoza,CA Talleres,VOL,15,5.678,5.658
Emiliano Viveros,Argentinos Juniors,VOL,17,5.352,5.646
Nicolás Gaitán,Aldosivi,VOL,7,5.466,5.62
Emilio Giaccone,Club Atlético Unión de Santa Fe,VOL,9,5.792,5.61
Gonzalo Ríos,Independiente Rivadavia,VOL,24,5.358,5.501
Nicolás Linares,Gimnasia y Esgrima Mendoza,VOL,8,5.934,5.494
Santiago Lencina,River Plate,VOL,5,4.815,5.486
Lautaro Giaccone,Argentinos Juniors,VOL,11,5.254,5.444
Lautaro Millán,CA Independiente,VOL,20,5.5,5.35
Ignacio Perruzzi,San Lorenzo,VOL,19,5.446,5.345
Adrián Fernández,Racing Club,VOL,18,5.329,5.333
Julian Contrera,Sarmiento,VOL,20,5.306,5.331
Leonel Pérez,Racing Club,VOL,6,6.051,5.331
Santiago Esquivel,Banfield,VOL,16,5.166,5.323
Matko Miljevic,Racing Club,VOL,24,5.071,5.313
Ulises Sánchez,Gimnasia y Esgrima Mendoza,VOL,16,5.184,5.307
Lautaro Villegas,Banfield,VOL,18,5.415,5.305
Franco Nicola,Atlético Tucumán,VOL,23,5.266,5.27
Yair Arismendi,Sarmiento,VOL,10,5.444,5.26
Alan Rodríguez,Rosario Central,VOL,4,6.413,5.252
Ramiro Hernandes,Club Atlético Belgrano,VOL,27,5.182,5.222
Jerónimo Gómez Mattar,Newell's Old Boys,VOL,20,5.658,5.219
Mateo Perez Curci,CA Independiente,VOL,16,4.954,5.191
Matías Sepúlveda,CA Lanús,VOL,23,5.101,5.175
Ramiro Carrera,CA Lanús,VOL,22,5.352,5.145
Agustín Medina,CA Lanús,VOL,21,5.312,5.141
Renzo Tesuri,Atlético Tucumán,VOL,25,5.275,5.139
Tiago Cravero,Central Córdoba,VOL,17,4.958,5.116
Leonel Bucca,Independiente Rivadavia,VOL,13,5.138,5.095
Giovanni Baroni,CA Talleres,VOL,18,4.835,5.071
Edwuin Cetré,Estudiantes de La Plata,VOL,21,5.201,5.061
Facundo Kalinger,Huracán,VOL,16,4.89,5.061
Tomas Gonzalez,Estudiantes de Río Cuarto,VOL,24,5.045,5.014
Gabriel Alanís,Estudiantes de Río Cuarto,VOL,23,5.155,5.001
Nicolás Talpone,Estudiantes de Río Cuarto,VOL,21,4.812,4.994
Javier Domínguez,Atlético Tucumán,VOL,12,5.273,4.951
Bruno Zuculini,Racing Club,VOL,16,5.35,4.91
Juan Cardozo,Central Córdoba,VOL,10,4.751,4.887
Carlos Villalba,Sarmiento,VOL,11,4.459,4.791
Kevin Zenón,Boca Juniors,VOL,8,5.383,4.76
Nicolas Watson,Deportivo Riestra,VOL,21,4.563,4.715
Manuel Garcia,Sarmiento,VOL,14,5.072,4.714
Nahuel Barboza,Gimnasia y Esgrima Mendoza,VOL,17,4.489,4.697
Alan Forneris,Racing Club,VOL,4,4.14,4.691
Ignacio Méndez,Instituto De Córdoba,VOL,20,4.595,4.685
Franco Watson,CA Lanús,VOL,18,4.46,4.67
Éver Banega,Defensa y Justicia,VOL,10,4.458,4.669
Facundo Gulli,San Lorenzo,VOL,22,4.783,4.648
Brahian Cuello,Club Atlético Unión de Santa Fe,VOL,20,4.569,4.638
Kendry Páez,River Plate,VOL,10,4.876,4.633
Marcelo Esponda,Newell's Old Boys,VOL,6,4.311,4.623
Rodrigo Bogarín,Barracas Central,VOL,7,4.027,4.611
Ezequiel Ham,Atlético Tucumán,VOL,16,4.659,4.586
Gabriel Florentín,Argentinos Juniors,VOL,12,4.366,4.572
Julián Mavilla,Club Atlético Belgrano,VOL,6,4.921,4.562
Gonzalo Abrego,San Lorenzo,VOL,12,4.642,4.468
Siro Rosane,Estudiantes de Río Cuarto,VOL,23,4.389,4.454
Matías Zaracho,Racing Club,VOL,24,4.471,4.453
Julián López,Defensa y Justicia,VOL,7,4.798,4.446
Yonatan Goitia,Deportivo Riestra,VOL,23,4.277,4.437
Matias Garcia,Deportivo Riestra,VOL,10,4.276,4.421
Lucas Gómez,Argentinos Juniors,VOL,11,4.494,4.408
Rodrigo Fernández,CA Independiente,VOL,12,4.576,4.395
Lautaro Carrera,Gimnasia y Esgrima Mendoza,VOL,13,4.312,4.39
Mateo Caceres,CA Talleres,VOL,15,4.348,4.335
Lautaro Ríos,Banfield,VOL,5,3.993,4.267
Tomás Fernández,Aldosivi,VOL,15,4.149,4.247
Santiago Segovia,Rosario Central,VOL,2,3.442,4.23
Felipe Bussio,Club Atlético Platense,VOL,12,4.598,4.196
Tiago Serrago,Tigre,VOL,19,4.045,4.195
Giuliano Galoppo,River Plate,VOL,10,3.802,4.059
Bautista Merlini,Club Atlético Platense,VOL,19,4.049,3.998
Martin Garcia,Aldosivi,VOL,17,4.203,3.977
Diego Crego,Independiente Rivadavia,VOL,10,4.083,3.97
Jeremías Merlo,Gimnasia y Esgrima,VOL,7,3.781,3.95
Valentino Acuña,Newell's Old Boys,VOL,6,4.053,3.938
Kevin Vázquez,Independiente Rivadavia,VOL,6,4.927,3.934
Jonas Acevedo,Instituto De Córdoba,VOL,12,4.147,3.882
Jhon Renteria,Sarmiento,VOL,9,4.002,3.788
Franco Leys,Aldosivi,VOL,11,3.748,3.773
Federico Navarro,Rosario Central,VOL,20,3.766,3.766
Facundo Farías,Estudiantes de La Plata,VOL,12,3.754,3.762
Lautaro Gomez,Banfield,VOL,24,3.868,3.738
Antony Alonso,Deportivo Riestra,VOL,25,3.73,3.689
Mauricio Cardillo,San Lorenzo,VOL,9,3.559,3.522
Stefano Moreyra,Independiente Rivadavia,VOL,7,3.562,3.481
Ezequiel Pérez,Racing Club,VOL,1,3.46,3.46
Nicolas Palavecino,Club Atlético Unión de Santa Fe,VOL,7,3.135,3.452
Thaiel Peralta,Huracán,VOL,16,3.363,3.438
Augusto Solari,Club Atlético Unión de Santa Fe,VOL,10,3.219,3.356
Alejandro Martínez,Huracán,VOL,12,3.29,3.306
Luis Sequeira,Independiente Rivadavia,VOL,6,2.956,3.2
Luca Feler,Vélez Sarsfield,VOL,10,2.967,3.177
Ignacio Pussetto,CA Independiente,VOL,10,3.452,3.114
Martín Rio,CA Talleres,VOL,9,2.962,3.085
Favio Álvarez,Banfield,VOL,7,2.947,3.009
Gonzalo Sosa,Racing Club,VOL,3,2.477,2.997
Facundo Alaggia,Sarmiento,VOL,4,2.971,2.98
Kevin Castaño,River Plate,VOL,5,2.878,2.957
Pablo Aguiar,Gimnasia y Esgrima,VOL,5,3.217,2.949
Jonatan Gómez,Sarmiento,VOL,12,3.44,2.939
Sebastián Medina,Tigre,VOL,12,2.759,2.858
Neyder Moreno,Banfield,VOL,9,2.852,2.848
Joaquin Mosqueira,Tigre,VOL,6,2.595,2.82
Franco Fragapane,Club Atlético Unión de Santa Fe,VOL,7,3.109,2.686
Luciano Cabral,CA Independiente,VOL,12,2.542,2.619
Leonardo Heredia,Club Atlético Platense,VOL,19,2.617,2.599
Francisco Perruzzi,San Lorenzo,VOL,4,2.56,2.481
Manuel Duarte,Barracas Central,VOL,5,2.352,2.254
Mateo Aguiar,Defensa y Justicia,VOL,9,1.846,2.229
Santiago Grella,Club Atlético Unión de Santa Fe,VOL,4,2.032,2.216
Michael Hoyos,Newell's Old Boys,VOL,9,1.991,2.096
Ramiro Tulián,Club Atlético Belgrano,VOL,6,2.173,2.004
Franco Moyano,Instituto De Córdoba,VOL,3,2.032,1.882
Franco Orozco,Newell's Old Boys,VOL,3,1.938,1.866
Tomás Ortiz,Gimnasia y Esgrima Mendoza,VOL,1,1.63,1.63
Tobías Leiva,Estudiantes de Río Cuarto,VOL,3,0.735,0.988
Federico Mancuello,CA Independiente,VOL,1,0.42,0.42
Federico Rodriguez,Central Córdoba,VOL,1,-0.04,-0.04
