modelo,variables,train_filas,test_filas,MAE,RMSE,R2,correlacion
A - BASE,45,8829,3254,3.7566660013799784,4.7190033414856085,0.06155958632919778,0.31862830154939203
B - BASE + CONTEXTO,113,8829,3254,3.7181134538979874,4.695746404587765,0.07078673307543248,0.31718703196560355
C - BASE + CONTEXTO + MATCHUP,193,8829,3254,3.6985372253703734,4.666367315042733,0.08237766559854576,0.3314871075616426
