date,player_name,team_name,rival_team_name,position,match_id,minutos,matchup_score,ultimo_equipo_historico,fecha_ultimo_registro,dias_desde_ultimo_registro,transferido_desde_otro_equipo,equipos_historicos_previos,registros_previos_mismo_equipo,tipo_caso
2026-01-22,Federico Vera,Huracán,Banfield,DEF,m_4LyLYK,80.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Jordy Caicedo,Huracán,Banfield,DEL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Leandro Lescano,Huracán,Banfield,DEF,m_4LyLYK,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Leonardo Gil,Huracán,Banfield,VOL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Leonardo Sequeira,Huracán,Banfield,DEL,m_4LyLYK,10.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Nehuén Paz,Huracán,Banfield,DEF,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Oscar Cortés,Huracán,Banfield,DEL,m_4LyLYK,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Thaiel Peralta,Huracán,Banfield,VOL,m_4LyLYK,57.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Carlos Abeldano,Atlético Tucumán,Independiente Rivadavia,DEL,m_1bOPPX,1.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Clever Ferreira,Atlético Tucumán,Independiente Rivadavia,DEF,m_1bOPPX,21.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Ezequiel Ham,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,69.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Franco Nicola,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,41.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gabriel Compagnucci,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gianluca Ferrari,Atlético Tucumán,Independiente Rivadavia,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Ignacio Galván,Atlético Tucumán,Independiente Rivadavia,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Leandro Díaz,Atlético Tucumán,Independiente Rivadavia,DEL,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Luis Ingolotti,Atlético Tucumán,Independiente Rivadavia,ARQ,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Nicolás Laméndola,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Renzo Tesuri,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Enzo Taborda,Barracas Central,River Plate,VOL,m_3L4LL7,8.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Facundo Bruera,Barracas Central,River Plate,DEL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Fernando Tobio,Barracas Central,River Plate,DEF,m_3L4LL7,82.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gastón Campi,Barracas Central,River Plate,DEF,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gonzalo Morales,Barracas Central,River Plate,DEL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Iván Tapia,Barracas Central,River Plate,VOL,m_3L4LL7,82.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Manuel Duarte,Barracas Central,River Plate,VOL,m_3L4LL7,18.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Rafael Barrios,Barracas Central,River Plate,DEF,m_3L4LL7,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Rodrigo Insúa,Barracas Central,River Plate,VOL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Tomás Porra,Barracas Central,River Plate,VOL,m_3L4LL7,72.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Yonatthan Rak,Barracas Central,River Plate,DEF,m_3L4LL7,8.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Alejo Osella,Independiente Rivadavia,Atlético Tucumán,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Diego Crego,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,13.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Ezequiel Bonifacio,Independiente Rivadavia,Atlético Tucumán,DEF,m_1bOPPX,8.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Fabrizio Sartori,Independiente Rivadavia,Atlético Tucumán,DEL,m_1bOPPX,19.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gonzalo Ríos,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,83.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Iván Villalba,Independiente Rivadavia,Atlético Tucumán,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,José Florentín,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Kevin Vázquez,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,1.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Leonard Costa,Independiente Rivadavia,Atlético Tucumán,DEF,m_1bOPPX,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Matías Fernández,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,83.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Nicolás Bolcato,Independiente Rivadavia,Atlético Tucumán,ARQ,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Rodrigo Atencio,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,1.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Sheyko Studer,Independiente Rivadavia,Atlético Tucumán,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Tomás Bottari,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Aníbal Moreno,River Plate,Barracas Central,VOL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Facundo Colidio,River Plate,Barracas Central,DEL,m_3L4LL7,61.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Fausto Vera,River Plate,Barracas Central,VOL,m_3L4LL7,60.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Giuliano Galoppo,River Plate,Barracas Central,VOL,m_3L4LL7,30.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gonzalo Montiel,River Plate,Barracas Central,DEF,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Ian Subiabre,River Plate,Barracas Central,DEL,m_3L4LL7,29.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Lautaro Rivero,River Plate,Barracas Central,DEF,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Lucas Martínez Quarta,River Plate,Barracas Central,DEF,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Matías Viña,River Plate,Barracas Central,DEF,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Maximiliano Salas,River Plate,Barracas Central,DEL,m_3L4LL7,15.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Santiago Beltrán,River Plate,Barracas Central,ARQ,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Santiago Lencina,River Plate,Barracas Central,VOL,m_3L4LL7,15.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Sebastián Driussi,River Plate,Barracas Central,DEL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Tomás Galván,River Plate,Barracas Central,VOL,m_3L4LL7,75.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Alan Velasco,Boca Juniors,Deportivo Riestra,VOL,m_2hYXmh,69.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Ander Herrera,Boca Juniors,Deportivo Riestra,VOL,m_2hYXmh,79.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Ayrton Costa,Boca Juniors,Deportivo Riestra,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Brian Aguirre,Boca Juniors,Deportivo Riestra,VOL,m_2hYXmh,21.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Exequiel Zeballos,Boca Juniors,Deportivo Riestra,DEL,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Iker Zufiaurre,Boca Juniors,Deportivo Riestra,DEL,m_2hYXmh,18.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Juan Barinaga,Boca Juniors,Deportivo Riestra,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Lautaro Blanco,Boca Juniors,Deportivo Riestra,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Lautaro Di Lollo,Boca Juniors,Deportivo Riestra,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Leandro Paredes,Boca Juniors,Deportivo Riestra,VOL,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Lucas Janson,Boca Juniors,Deportivo Riestra,DEL,m_2hYXmh,72.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Milton Delgado,Boca Juniors,Deportivo Riestra,VOL,m_2hYXmh,11.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Tomás Belmonte,Boca Juniors,Deportivo Riestra,VOL,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Alexander Díaz,Deportivo Riestra,Boca Juniors,DEL,m_2hYXmh,27.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Antony Alonso,Deportivo Riestra,Boca Juniors,VOL,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Cristian Paz,Deportivo Riestra,Boca Juniors,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Facundo Miño,Deportivo Riestra,Boca Juniors,DEF,m_2hYXmh,34.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Gabriel Obredor,Deportivo Riestra,Boca Juniors,VOL,m_2hYXmh,11.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Ignacio Arce,Deportivo Riestra,Boca Juniors,ARQ,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Jonathan Herrera,Deportivo Riestra,Boca Juniors,DEL,m_2hYXmh,11.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Mariano Bracamonte,Deportivo Riestra,Boca Juniors,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Miguel Barbieri,Deportivo Riestra,Boca Juniors,DEF,m_2hYXmh,84.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Nicolás Benegas,Deportivo Riestra,Boca Juniors,DEL,m_2hYXmh,63.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Nicolás Sansotre,Deportivo Riestra,Boca Juniors,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Pablo Monje,Deportivo Riestra,Boca Juniors,VOL,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-25,Pedro Ramírez,Deportivo Riestra,Boca Juniors,DEF,m_2hYXmh,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Alan Lescano,Argentinos Juniors,Sarmiento,VOL,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Brayan Cortés,Argentinos Juniors,Sarmiento,ARQ,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Diego Porcel,Argentinos Juniors,Sarmiento,DEL,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Facundo Jainikoski,Argentinos Juniors,Sarmiento,DEL,m_1BLvBV,16.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Federico Fattori,Argentinos Juniors,Sarmiento,VOL,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Francisco Álvarez,Argentinos Juniors,Sarmiento,DEF,m_1BLvBV,84.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Lautaro Giaccone,Argentinos Juniors,Sarmiento,VOL,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Leandro Fernández,Argentinos Juniors,Sarmiento,DEL,m_1BLvBV,25.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Leandro Lozano,Argentinos Juniors,Sarmiento,DEF,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Ryoga Kida,Argentinos Juniors,Sarmiento,DEL,m_1BLvBV,17.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Sebastián Prieto,Argentinos Juniors,Sarmiento,DEF,m_1BLvBV,65.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
