grupo,variable,n,pearson,spearman,abs_pearson,abs_spearman
ARQ,rival_historico_duelWonPercent,492,-0.1347014710339884,-0.13625838498634252,0.1347014710339884,0.13625838498634252
ARQ,rival_historico_passes,492,-0.12012274004407682,-0.13124243003211333,0.12012274004407682,0.13124243003211333
ARQ,rival_historico_accuratePasses,492,-0.12072707046715413,-0.12998486118700722,0.12072707046715413,0.12998486118700722
ARQ,rival_historico_yellowCards,492,0.09024496258470674,0.12114912502560488,0.09024496258470674,0.12114912502560488
ARQ,rival_historico_ballPossession,492,-0.1062986608304556,-0.11593506219769902,0.1062986608304556,0.11593506219769902
ARQ,rival_historico_fouls,492,0.1086847352759056,0.11364817596570169,0.1086847352759056,0.11364817596570169
ARQ,rival_historico_freeKicks,492,-0.11142824597947115,-0.1109536372441428,0.11142824597947115,0.1109536372441428
ARQ,rival_historico_totalClearance,492,0.07382843631713197,0.10868205909820153,0.07382843631713197,0.10868205909820153
ARQ,rival_historico_groundDuelsPercentage,492,-0.09265615781670213,-0.104162802566788,0.09265615781670213,0.104162802566788
ARQ,historico_shotsOffGoal,496,-0.07381289914480889,-0.10238340789500486,0.07381289914480889,0.10238340789500486
ARQ,rival_historico_shotsOnGoal,492,-0.07556294681538048,-0.09644817418942524,0.07556294681538048,0.09644817418942524
ARQ,historico_accurateCross,496,-0.08652874419221772,-0.09553972431770374,0.08652874419221772,0.09553972431770374
ARQ,rival_historico_fouledFinalThird,492,-0.08714777921974988,-0.08828092109578407,0.08714777921974988,0.08828092109578407
ARQ,rival_historico_ballRecovery,492,-0.057470038871509865,-0.08124957466021203,0.057470038871509865,0.08124957466021203
ARQ,historico_totalClearance,496,-0.07034055337207915,-0.08064177081110599,0.07034055337207915,0.08064177081110599
ARQ,rival_historico_aerialDuelsPercentage,492,0.05459800332972212,0.07857819755384729,0.05459800332972212,0.07857819755384729
ARQ,historico_wonTacklePercent,496,-0.0778454613677864,-0.07759216158492849,0.0778454613677864,0.07759216158492849
ARQ,historico_accurateLongBalls,496,0.050424979706883394,0.06996971359012602,0.050424979706883394,0.06996971359012602
ARQ,historico_totalTackle,496,-0.060670418475370136,-0.06509724445586945,0.060670418475370136,0.06509724445586945
ARQ,historico_offsides,496,0.052047979171264865,0.06446234695337996,0.052047979171264865,0.06446234695337996
ARQ,rival_historico_dispossessed,492,0.04940675048795829,0.06411145398515651,0.04940675048795829,0.06411145398515651
ARQ,rival_historico_dribblesPercentage,492,-0.07758433682507208,-0.05990832674039335,0.07758433682507208,0.05990832674039335
ARQ,historico_blockedScoringAttempt,496,0.011210401578396735,0.057085274240462384,0.011210401578396735,0.057085274240462384
ARQ,rival_historico_expectedGoals,188,0.004339637318891772,-0.05607548801369911,0.004339637318891772,0.05607548801369911
ARQ,rival_historico_interceptionWon,492,0.043716878441717746,0.05025581691485112,0.043716878441717746,0.05025581691485112
ARQ,rival_historico_wonTacklePercent,492,0.054353051171948746,0.04649009967818847,0.054353051171948746,0.04649009967818847
ARQ,historico_dispossessed,496,-0.0216731252533648,-0.04645382996394671,0.0216731252533648,0.04645382996394671
ARQ,historico_totalShotsInsideBox,496,-0.05086343424839407,-0.045058339491893966,0.05086343424839407,0.045058339491893966
ARQ,historico_expectedGoalsOnTarget,190,-0.006932070403830036,0.04474837952721871,0.006932070403830036,0.04474837952721871
ARQ,rival_historico_accurateLongBalls,492,-0.02489381318686687,-0.044138187358567,0.02489381318686687,0.044138187358567
ARQ,historico_totalShotsOnGoal,496,-0.033845729376147965,-0.043953104141877204,0.033845729376147965,0.043953104141877204
ARQ,historico_bigChanceMissed,494,0.04054792844467101,0.043760339360689446,0.04054792844467101,0.043760339360689446
ARQ,rival_historico_expectedGoalsOnTarget,188,-0.002133725735210881,-0.04000433462981575,0.002133725735210881,0.04000433462981575
ARQ,rival_historico_totalShotsInsideBox,492,-0.023997394139677688,-0.039121478692295146,0.023997394139677688,0.039121478692295146
ARQ,rival_historico_touchesInOppBox,492,-0.019631897374342254,-0.03647471132129675,0.019631897374342254,0.03647471132129675
ARQ,rival_historico_offsides,492,-0.023923130652052465,-0.036084498155644705,0.023923130652052465,0.036084498155644705
ARQ,rival_historico_bigChanceCreated,492,-0.04971042905607592,-0.03492454037269576,0.04971042905607592,0.03492454037269576
ARQ,rival_historico_totalShotsOnGoal,492,-0.018727405495301306,-0.0338525879388626,0.018727405495301306,0.0338525879388626
ARQ,historico_dribblesPercentage,496,-0.07157393452622533,-0.03311501299828374,0.07157393452622533,0.03311501299828374
ARQ,historico_cornerKicks,496,-0.031870343896977314,-0.03031874977648263,0.031870343896977314,0.03031874977648263
ARQ,rival_historico_finalThirdEntries,492,0.041283891452022534,0.029778229567526283,0.041283891452022534,0.029778229567526283
ARQ,historico_bigChanceCreated,496,0.030999146707801815,0.02940001254441245,0.030999146707801815,0.02940001254441245
ARQ,rival_historico_shotsOffGoal,492,0.004680480356136769,0.025644050292022973,0.004680480356136769,0.025644050292022973
ARQ,historico_duelWonPercent,496,0.0195116045058211,0.023506287857887862,0.0195116045058211,0.023506287857887862
ARQ,historico_finalThirdEntries,496,0.040170503158629425,0.021539867558199744,0.040170503158629425,0.021539867558199744
ARQ,historico_fouls,496,-0.008929202520550275,-0.020671265230614657,0.008929202520550275,0.020671265230614657
ARQ,rival_historico_bigChanceMissed,490,-0.03175748790495355,-0.020558023621675324,0.03175748790495355,0.020558023621675324
ARQ,historico_passes,496,0.017460342253844255,0.02012262061064338,0.017460342253844255,0.02012262061064338
ARQ,historico_yellowCards,496,0.023933491917544958,-0.019227145611343616,0.023933491917544958,0.019227145611343616
ARQ,historico_goalkeeperSaves,496,0.009521823165247995,-0.01790133855311936,0.009521823165247995,0.01790133855311936
ARQ,historico_accuratePasses,496,0.012445054891849723,0.017106971864467104,0.012445054891849723,0.017106971864467104
ARQ,historico_interceptionWon,496,-0.004515520917501327,-0.016417866381881918,0.004515520917501327,0.016417866381881918
ARQ,historico_freeKicks,496,0.020646802808434873,0.01582022928762034,0.020646802808434873,0.01582022928762034
ARQ,historico_groundDuelsPercentage,496,-0.052819180904896956,-0.01552795277157765,0.052819180904896956,0.01552795277157765
ARQ,rival_historico_goalkeeperSaves,492,-0.010717687158786349,0.012352141913477426,0.010717687158786349,0.012352141913477426
ARQ,historico_aerialDuelsPercentage,496,-0.01535931380933403,-0.010526063466689476,0.01535931380933403,0.010526063466689476
ARQ,historico_ballPossession,496,0.0028834221644438354,0.00992222237443718,0.0028834221644438354,0.00992222237443718
ARQ,historico_touchesInOppBox,496,-0.03864014338251428,-0.009336963486878095,0.03864014338251428,0.009336963486878095
ARQ,historico_shotsOnGoal,496,0.006696585887050309,0.008990330826678133,0.006696585887050309,0.008990330826678133
ARQ,historico_totalShotsOutsideBox,496,-0.005117134182968896,-0.008956394775423654,0.005117134182968896,0.008956394775423654
ARQ,rival_historico_accurateCross,492,-0.02601062193384383,-0.008859343561961408,0.02601062193384383,0.008859343561961408
ARQ,rival_historico_totalShotsOutsideBox,492,-0.006810898997275396,-0.008641912574594067,0.006810898997275396,0.008641912574594067
ARQ,historico_ballRecovery,496,-0.00651603498087636,-0.0073599570260288105,0.00651603498087636,0.0073599570260288105
ARQ,historico_expectedGoals,190,-0.04250020347926393,0.00733375268064934,0.04250020347926393,0.00733375268064934
ARQ,historico_fouledFinalThird,496,0.008829016749093331,-0.0021278448280244813,0.008829016749093331,0.0021278448280244813
ARQ,rival_historico_blockedScoringAttempt,492,0.020034015494489212,0.001599843144673182,0.020034015494489212,0.001599843144673182
