match_id,sofascore_event_id,date,player_id,player_name,team_name,rival_team_name,position,matchup_score,matchup_score_propio,matchup_score_rival,matchup_score_interaccion,titular,minutos,rating,metodo_verificacion,estado,team_id_calculado,rival_id_calculado,hist_propio_partidos,hist_rival_partidos,n_propio,n_rival,n_interaccion,variables_propio,variables_rival,variables_interaccion,causa
m_0MqdAY,15269902.0,2026-01-22,p_1xgZEc,Ayrton Portillo,Defensa y Justicia,Aldosivi,DEF,,,,,True,90.0,6.5,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_46qDWM,Cristopher Fiermarín,Defensa y Justicia,Aldosivi,ARQ,,,,,True,90.0,7.6,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_1Bugui,Damián Fernández,Defensa y Justicia,Aldosivi,DEF,,,,,True,89.0,7.7,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_1CLF1j,David Martínez,Defensa y Justicia,Aldosivi,DEF,,,,,True,90.0,7.5,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_2j4Vzq,Elías Pereyra,Defensa y Justicia,Aldosivi,DEF,,,,,True,76.0,6.7,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_3Xo6We,Juan Miritello,Defensa y Justicia,Aldosivi,DEL,,,,,True,89.0,6.6,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_3sHKHi,Julián López,Defensa y Justicia,Aldosivi,VOL,,,,,True,90.0,6.4,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_2JMaoS,Lucas Souto,Defensa y Justicia,Aldosivi,DEF,,,,,True,90.0,6.9,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_2Vtoak,Mateo Aguiar,Defensa y Justicia,Aldosivi,VOL,,,,,False,14.0,6.8,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_0ZcWJC,Nazareno Roselli,Defensa y Justicia,Aldosivi,DEF,,,,,False,1.0,,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_0MqdAY,15269902.0,2026-01-22,p_4FS6tr,Santiago Sosa,Defensa y Justicia,Aldosivi,VOL,,,,,True,90.0,6.9,nombre,REVISAR_JUGO,t_1DVMAZ,t_2rD0OF,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_1u5P1L,César Ibáñez,Huracán,Banfield,DEF,,,,,False,19.0,6.9,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_3NPNrM,Emmanuel Ojeda,Huracán,Banfield,VOL,,,,,True,90.0,7.1,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_1NZkbt,Eric Ramírez,Huracán,Banfield,VOL,,,,,False,19.0,7.0,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_2CcRpn,Fabio Pereyra,Huracán,Banfield,DEF,,,,,True,90.0,6.3,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_2U6bg5,Facundo Waller,Huracán,Banfield,VOL,,,,,True,90.0,7.1,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_2xZbaM,Federico Vera,Huracán,Banfield,DEF,,,,,True,80.0,6.2,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_46Ymcl,Jordy Caicedo,Huracán,Banfield,DEL,,,,,True,90.0,7.0,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_2BQd7q,Leandro Lescano,Huracán,Banfield,DEF,,,,,True,71.0,6.7,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_0iuC7I,Leonardo Gil,Huracán,Banfield,VOL,,,,,True,90.0,7.2,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
m_4LyLYK,15270071.0,2026-01-22,p_4aWnwm,Leonardo Sequeira,Huracán,Banfield,DEL,,,,,False,10.0,6.5,nombre,REVISAR_JUGO,t_2qXAzu,t_0bW0AU,0,0,0,0,0,,,,SIN_HISTORIAL_PROPIO_O_RIVAL
