perfil,tipo_registro,orden,player_id,player_name,team_name,position,rival,es_local,score_contextual,score_seleccion,partidos_historicos,participaciones_ultimos_3,titulares_ultimos_3,promedio,p90,std,factor_contexto,factor_confianza,matchup_score,matchup_variables_usadas,prediccion_modelo_c,score_diversidad,veces_usado_otros_equipos,score_flex,flex_repetido,titular_mismo_equipo,titular_otro_equipo,veces_flex_usado,perfil_flex,sim_promedio_equipo,sim_p50_equipo,sim_p90_equipo,sim_min_equipo,sim_max_equipo,prob_100,prob_140
ARRIESGADO,TITULAR,7,p_3XUbmT,Matías Pellegrini,Vélez Sarsfield,VOL,Club Atlético Platense,True,12.731140228000001,14.069485889535637,20,2,2,8.947594999999998,16.894200000000005,5.637396986149492,1.081,1.0,0.5589181286549708,15.0,6.15386449878545,14.069485889535637,0,,,,,,,143.73023726426928,143.46533320629734,174.0678996736227,63.954434372137904,247.26554387555146,0.9707,0.5597
ARRIESGADO,TITULAR,8,p_36ULM2,Ignacio Russo,Tigre,DEL,Argentinos Juniors,False,8.223465108333333,13.15456228687911,26,3,3,7.7294,15.80165,6.606577639776892,0.85,1.0,0.5291501976284585,11.0,5.577128809735925,13.15456228687911,0,,,,,,,143.73023726426928,143.46533320629734,174.0678996736227,63.954434372137904,247.26554387555146,0.9707,0.5597
ARRIESGADO,TITULAR,9,p_2aHbDR,Sebastián Driussi,River Plate,DEL,Sarmiento,False,10.543818187578948,12.524098725747093,19,3,3,8.477626315789474,15.704939999999999,5.622367048459424,1.086,1.0,0.6105920655122321,11.0,5.577128809735925,12.524098725747093,0,,,,,,,143.73023726426928,143.46533320629734,174.0678996736227,63.954434372137904,247.26554387555146,0.9707,0.5597
ARRIESGADO,TITULAR,10,p_07K4zy,Enner Valencia,Boca Juniors,DEL,Club Atlético Unión de Santa Fe,True,11.393160241806736,12.357004185236958,4,3,2,7.837524999999999,15.5037,8.020419485444636,1.098,0.9655505251205082,0.6569637614155371,16.0,5.577128809735925,12.357004185236958,0,,,,,,,143.73023726426928,143.46533320629734,174.0678996736227,63.954434372137904,247.26554387555146,0.9707,0.5597
ARRIESGADO,FLEX,0,p_48O6pP,Jerónimo Russo,Newell's Old Boys,DEF,CA Lanús,True,8.187809334833332,12.884467549369315,20,3,1,7.545899999999999,16.196410000000007,6.970639490636497,0.8869999999999999,1.0,,,,,,12.884467549369315,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_4Bdvg6,Walter Mazzantti,Newell's Old Boys,DEF,CA Lanús,True,8.850684618431371,12.83661577399897,17,3,3,8.502476470588235,15.47354,6.637230112171173,0.8869999999999999,1.0,,,,,,12.83661577399897,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_1aur1M,Julián Mavilla,Sarmiento,VOL,River Plate,True,11.552875638312875,13.93846048634039,7,3,3,11.830514285714285,18.090940000000003,6.192906007529522,0.8889999999999999,0.9761138506901658,,,,,,13.93846048634039,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_4PWEjP,Franco Ibarra,Rosario Central,VOL,Banfield,False,13.797302272,13.704156247235632,26,3,3,11.529,17.409799999999997,4.349200647843233,1.088,1.0,,,,,,13.704156247235632,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_14TOcz,Agustín Álvarez,Talleres,DEL,Club Atlético Belgrano,True,7.079870323028205,11.499734149450715,5,3,3,6.3135,15.284120000000001,8.541275576575199,0.878,0.9687628224520737,,,,,,11.499734149450715,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_3QlNQ2,Miguel Merentiel,Boca Juniors,DEL,Club Atlético Unión de Santa Fe,True,10.133067372857143,11.446725433170776,21,3,1,7.7886428571428565,12.604,4.982130043924127,1.098,1.0,,,,,,11.446725433170776,False,False,False,0,ARRIESGADO,,,,,,,
