perfil,promedio_simulado,mediana,p10,p25,p75,p90,min,max,prob_mas_100,prob_mas_140
SEGURO,110.380502730154,110.65120997123726,88.5762656010424,98.8161216166553,121.7585853562945,131.8978559864405,50.25452886205632,170.53839285392093,72.92999999999999,4.1000000000000005
INTERMEDIO,110.63975113124319,110.71776874296066,88.82663539565186,99.25812452977186,122.26168628202542,132.30230151921532,43.68909581926433,178.14326591985815,73.41,4.22
ARRIESGADO,106.0021160722474,106.21222074803529,81.40240480723453,93.28060112302582,118.76391460139527,130.32722136668073,29.37136819105059,176.96021450495434,62.660000000000004,3.64
