grupo,variable,n,pearson,spearman,abs_pearson,abs_spearman
ARQ,matchup_ratio_wonTacklePercent,345,-0.16409166521493676,-0.18061952917389718,0.16409166521493676,0.18061952917389718
ARQ,matchup_diferencia_wonTacklePercent,345,-0.1641748859590477,-0.17814474415812226,0.1641748859590477,0.17814474415812226
ARQ,matchup_diferencia_shotsOffGoal,345,-0.11510987595775395,-0.129364807866919,0.11510987595775395,0.129364807866919
ARQ,matchup_tackles_ratio,345,-0.10897751122038143,-0.12719414465666432,0.10897751122038143,0.12719414465666432
ARQ,matchup_ratio_totalTackle,345,-0.10897751122038143,-0.12719414465666432,0.10897751122038143,0.12719414465666432
ARQ,matchup_diferencia_totalTackle,345,-0.10226000810926535,-0.125734111323924,0.10226000810926535,0.125734111323924
ARQ,matchup_tackles_diferencia,345,-0.10226000810926535,-0.125734111323924,0.10226000810926535,0.125734111323924
ARQ,matchup_ratio_shotsOffGoal,344,-0.0885331157269948,-0.12191855319662032,0.0885331157269948,0.12191855319662032
ARQ,matchup_ratio_accurateCross,345,-0.05564470348241866,-0.11254626572236406,0.05564470348241866,0.11254626572236406
ARQ,matchup_ratio_expectedGoals,125,0.13863029381124992,0.1115692196166601,0.13863029381124992,0.1115692196166601
ARQ,matchup_ataque_xg_ratio,125,0.13863029381124992,0.1115692196166601,0.13863029381124992,0.1115692196166601
ARQ,matchup_diferencia_accurateCross,345,-0.0810454103140969,-0.10947710599650609,0.0810454103140969,0.10947710599650609
ARQ,matchup_pelota_parada_faltas_diferencia,345,-0.09961548852491513,-0.10350045581972339,0.09961548852491513,0.10350045581972339
ARQ,matchup_pelota_parada_faltas_ratio,345,-0.084094475195415,-0.0999928110665195,0.084094475195415,0.0999928110665195
ARQ,matchup_ratio_dispossessed,345,-0.00817750727409979,-0.09908653434730678,0.00817750727409979,0.09908653434730678
ARQ,matchup_ratio_accurateLongBalls,345,0.06951948926834148,0.0967327954987858,0.06951948926834148,0.0967327954987858
ARQ,matchup_diferencia_dispossessed,345,-0.04389246435196575,-0.09635604034324366,0.04389246435196575,0.09635604034324366
ARQ,matchup_diferencia_accurateLongBalls,345,0.07884459780638743,0.09570783129597087,0.07884459780638743,0.09570783129597087
ARQ,matchup_ratio_shotsOnGoal,344,0.08651329581053209,0.09264001430645308,0.08651329581053209,0.09264001430645308
ARQ,matchup_ataque_tiros_arco_ratio,344,0.08651329581053209,0.09264001430645308,0.08651329581053209,0.09264001430645308
ARQ,matchup_diferencia_fouls,345,-0.08126399199698241,-0.09107587800379355,0.08126399199698241,0.09107587800379355
ARQ,matchup_ratio_fouls,345,-0.08231171666918131,-0.08616741611107576,0.08231171666918131,0.08616741611107576
ARQ,matchup_diferencia_shotsOnGoal,345,0.06991310472204734,0.08572344132119374,0.06991310472204734,0.08572344132119374
