grupo,variable,n,pearson,spearman,abs_pearson,abs_spearman
GENERAL,historico_accuratePasses,7581,0.14224979306249408,0.13247129098258192,0.14224979306249408,0.13247129098258192
GENERAL,historico_passes,7581,0.14104619591715384,0.13105200442665038,0.14104619591715384,0.13105200442665038
GENERAL,historico_ballPossession,7581,0.11923807532026787,0.11821995868802389,0.11923807532026787,0.11821995868802389
GENERAL,historico_duelWonPercent,7581,0.11522397169610514,0.11701741500510845,0.11522397169610514,0.11701741500510845
GENERAL,historico_totalClearance,7581,-0.09291634095522225,-0.11543730152366932,0.09291634095522225,0.11543730152366932
GENERAL,historico_fouls,7581,-0.11060168755663614,-0.11227153322871,0.11060168755663614,0.11227153322871
GENERAL,historico_yellowCards,7581,-0.08499999142463467,-0.10258814975885815,0.08499999142463467,0.10258814975885815
GENERAL,historico_shotsOnGoal,7581,0.09241042864064776,0.102475246508355,0.09241042864064776,0.102475246508355
GENERAL,rival_historico_ballPossession,7596,-0.09712472101121537,-0.10037633463549948,0.09712472101121537,0.10037633463549948
GENERAL,historico_groundDuelsPercentage,7581,0.08827289546106759,0.09967371916963569,0.08827289546106759,0.09967371916963569
GENERAL,historico_freeKicks,7581,0.09688979658041262,0.09816643638184193,0.09688979658041262,0.09816643638184193
GENERAL,rival_historico_accuratePasses,7596,-0.10166706094246604,-0.09262974339974754,0.10166706094246604,0.09262974339974754
GENERAL,rival_historico_totalClearance,7596,0.07474441918199778,0.09227624601292296,0.07474441918199778,0.09227624601292296
GENERAL,rival_historico_passes,7596,-0.10003262145162353,-0.0912525150526551,0.10003262145162353,0.0912525150526551
GENERAL,historico_aerialDuelsPercentage,7581,-0.08297355179314507,-0.09077725238535352,0.08297355179314507,0.09077725238535352
GENERAL,historico_expectedGoals,2884,0.06873899084632054,0.08896090408215143,0.06873899084632054,0.08896090408215143
GENERAL,rival_historico_duelWonPercent,7596,-0.07885093966020428,-0.0863277711669779,0.07885093966020428,0.0863277711669779
GENERAL,rival_historico_fouls,7596,0.0753102897951979,0.08212153790661243,0.0753102897951979,0.08212153790661243
GENERAL,rival_historico_expectedGoals,2887,-0.05813181363900249,-0.08074713554965597,0.05813181363900249,0.08074713554965597
GENERAL,historico_ballRecovery,7581,0.06097017097356262,0.07884962757660173,0.06097017097356262,0.07884962757660173
GENERAL,rival_historico_freeKicks,7596,-0.07972316811283148,-0.07703825297246457,0.07972316811283148,0.07703825297246457
GENERAL,historico_fouledFinalThird,7581,0.06379590719913777,0.07184300001685583,0.06379590719913777,0.07184300001685583
GENERAL,rival_historico_shotsOnGoal,7596,-0.06952683972915266,-0.07077099230390624,0.06952683972915266,0.07077099230390624
GENERAL,rival_historico_yellowCards,7596,0.04819188468873294,0.06913440415111387,0.04819188468873294,0.06913440415111387
GENERAL,rival_historico_expectedGoalsOnTarget,2887,-0.044872232125410326,-0.06785677073198818,0.044872232125410326,0.06785677073198818
GENERAL,historico_totalShotsInsideBox,7581,0.058506472676253855,0.06591150737869698,0.058506472676253855,0.06591150737869698
GENERAL,rival_historico_groundDuelsPercentage,7596,-0.0485062710773595,-0.06321817269123765,0.0485062710773595,0.06321817269123765
GENERAL,rival_historico_fouledFinalThird,7596,-0.05927310089991626,-0.06293333220322755,0.05927310089991626,0.06293333220322755
GENERAL,historico_totalShotsOnGoal,7581,0.05594819669373516,0.06161155499691249,0.05594819669373516,0.06161155499691249
GENERAL,historico_touchesInOppBox,7581,0.04970898608494723,0.060002922184763836,0.04970898608494723,0.060002922184763836
GENERAL,historico_cornerKicks,7581,0.0600441581029644,0.058767588190780075,0.0600441581029644,0.058767588190780075
GENERAL,rival_historico_dispossessed,7596,0.03701250975696417,0.05765848018471847,0.03701250975696417,0.05765848018471847
GENERAL,historico_bigChanceCreated,7581,0.07512574196516181,0.05378426593591175,0.07512574196516181,0.05378426593591175
GENERAL,historico_expectedGoalsOnTarget,2884,0.037462710342286105,0.05336219241205236,0.037462710342286105,0.05336219241205236
GENERAL,historico_dribblesPercentage,7581,0.059146169234187786,0.052397521702010515,0.059146169234187786,0.052397521702010515
GENERAL,rival_historico_aerialDuelsPercentage,7596,0.050359600238776926,0.04711176116722737,0.050359600238776926,0.04711176116722737
GENERAL,historico_offsides,7581,0.04468943801137759,0.04378845845957605,0.04468943801137759,0.04378845845957605
GENERAL,rival_historico_bigChanceCreated,7596,-0.053721286895623326,-0.042249564857264145,0.053721286895623326,0.042249564857264145
GENERAL,historico_bigChanceMissed,7553,0.06991278367148225,0.041858687050124584,0.06991278367148225,0.041858687050124584
GENERAL,historico_dispossessed,7581,-0.029828229758344132,-0.041814204748680875,0.029828229758344132,0.041814204748680875
GENERAL,rival_historico_totalShotsInsideBox,7596,-0.038136148567447486,-0.0415096949250572,0.038136148567447486,0.0415096949250572
GENERAL,historico_accurateLongBalls,7581,0.043754191710972744,0.039797697402179096,0.043754191710972744,0.039797697402179096
GENERAL,historico_finalThirdEntries,7581,-0.043148933288973186,-0.037063435792995855,0.043148933288973186,0.037063435792995855
GENERAL,rival_historico_totalShotsOnGoal,7596,-0.03699277242583748,-0.03687333212867059,0.03699277242583748,0.03687333212867059
GENERAL,rival_historico_touchesInOppBox,7596,-0.02376857812919644,-0.03681655793004842,0.02376857812919644,0.03681655793004842
GENERAL,rival_historico_goalkeeperSaves,7596,0.014796781527018885,0.03532415823690164,0.014796781527018885,0.03532415823690164
GENERAL,historico_blockedScoringAttempt,7581,0.02955417898206767,0.0342123185088714,0.02955417898206767,0.0342123185088714
GENERAL,rival_historico_cornerKicks,7596,-0.036566067608383546,-0.034077430863985826,0.036566067608383546,0.034077430863985826
GENERAL,rival_historico_blockedScoringAttempt,7596,-0.021375971880677507,-0.03370025142174352,0.021375971880677507,0.03370025142174352
GENERAL,historico_goalkeeperSaves,7581,-0.022510028043974405,-0.03249796937105458,0.022510028043974405,0.03249796937105458
GENERAL,rival_historico_accurateLongBalls,7596,-0.029723957899126532,-0.03245501708098743,0.029723957899126532,0.03245501708098743
GENERAL,historico_totalShotsOutsideBox,7581,0.03292253095587381,0.030941532756059095,0.03292253095587381,0.030941532756059095
