nivel_matchup,jugadores,matchup_promedio,winning_promedio,winning_mediana,winning_maximo
BAJO,1785,0.4348819615940144,7.468401064425771,6.8067,25.1819
MEDIO,3560,0.5221425740390092,6.52756929775281,5.85605,35.35
ALTO,1781,0.6434844837696648,6.680143402582819,6.03,28.2763
