match_id,status_type,team_id,team_name,is_home,result,home_score,away_score,player_id,player_name,position,substitute,minutesPlayed,rating,goals,penalty_goals,goalAssist,expectedGoals,expectedAssists,totalShots,onTargetScoringAttempt,bigChanceCreated,bigChanceMissed,keyPass,hitWoodwork,duelWon,duelLost,unsuccessfulTouch,dispossessed,progressiveBallCarriesCount,ballCarriesCount,errorLeadToAShot,errorLeadToAGoal,wonTackle,interceptionWon,ballRecovery,totalClearance,blockedScoringAttempt,accuratePass,totalPass,accurateLongBalls,totalLongBalls,accurateCross,totalCross,accurateOppositionHalfPasses,yellow_card,red_card,yellow_red,discipline_points,fouls,wasFouled,penaltyWon,penaltyConceded,penaltyMiss,possessionLostCtrl,aerialWon,aerialLost,challengeLost,outfielderBlock,clearanceOffLine,ownGoals,totalOffside,saves,team_clean_sheet,goals_conceded_while_playing,goals_for_while_playing,puntos_participacion,puntos_errores,puntos_pases,puntos_peligro,puntos_defensa,puntos_arquero,puntos_goles_asistencias,puntos_resultado,puntos_disciplina,winning_v2,winning_por90_v2
15269902,finished,36836,Aldosivi,True,W,0,0,946195,Tomás Fernández,F,True,21.0,6.6,,0,0.0,,,0,,,,,,2.0,,3.0,,,1.0,,,1.0,1.0,1.0,,,3.0,5.0,,,,,3.0,0,0,0,0,,,,,,5.0,1.0,,,,,,1.0,0,True,0,0,0.42999999999999994,0.0,0.126,-0.2,1.1,0.0,0.0,3.0,0.0,4.4559999999999995,19.097142857142856
15269902,finished,36836,Aldosivi,True,W,0,0,146982,Lucas Rodríguez,D,True,20.0,6.9,,0,0.0,,,0,,,,,,2.0,1.0,,1.0,,4.0,,,1.0,,2.0,,,5.0,9.0,,1.0,1.0,1.0,2.0,0,0,0,0,,1.0,,,,6.0,,,,,,,,0,True,0,0,0.6000000000000001,0.0,0.22222222222222224,0.0,1.1222222222222222,0.0,0.0,3.0,0.0,4.944444444444445,22.25
15269902,finished,36836,Aldosivi,True,W,0,0,333807,Franco Leys,M,True,16.0,6.8,,0,0.0,,,0,,,,,,2.0,,,,,,,,,,,,,3.0,3.0,,,,,,0,0,0,0,,,,,,,,,,,,,,0,True,0,0,0.88,0.0,0.06,0.0,0.0,0.0,0.0,3.0,0.0,3.94,22.1625
15269902,finished,36836,Aldosivi,True,W,0,0,1385939,Alejandro Villareal,F,True,16.0,6.4,,0,0.0,,,0,,,,,,1.0,2.0,3.0,,,1.0,,,,,,,,,1.0,,,,,,0,0,0,0,2.0,,,,,4.0,1.0,,,,,,,0,True,0,0,-0.3200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.6799999999999997,15.075
15269902,finished,36836,Aldosivi,True,W,0,0,875398,Ignacio Chicco,G,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36836,Aldosivi,True,W,0,0,2449645,Ian Acosta,D,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36836,Aldosivi,True,W,0,0,1404549,Federico Laurelli,D,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36836,Aldosivi,True,W,0,0,924736,Mauro Da Luz,F,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36836,Aldosivi,True,W,0,0,1184847,Facundo De La Vega,F,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36836,Aldosivi,True,W,0,0,860051,Nicolás Cordero,F,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36836,Aldosivi,True,W,0,0,2020674,David Juárez,M,True,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,
15269902,finished,36839,Defensa y Justicia,False,L,0,0,881111,Cristopher Fiermarín,G,False,90.0,7.6,,0,0.0,,,0,,,,,,,,,,,2.0,,,,,11.0,1.0,,11.0,21.0,4.0,14.0,,,1.0,0,0,0,0,,,,,,10.0,,,,,,,,0,True,0,0,2.6999999999999997,0.0,0.2461904761904762,0.0,2.3200000000000003,2.0,0.0,0.0,0.0,7.266190476190476,7.266190476190477
15269902,finished,36839,Defensa y Justicia,False,L,0,0,1020523,Lucas Souto,D,False,90.0,6.9,,0,0.0,,,1,,,,,,6.0,5.0,1.0,1.0,,13.0,,,1.0,5.0,3.0,6.0,,24.0,32.0,3.0,7.0,,1.0,5.0,0,0,0,0,1.0,1.0,,,,12.0,4.0,2.0,,,,,,0,True,0,0,2.4999999999999996,0.0,0.66,0.0,4.82,0.0,0.0,0.0,0.0,7.98,7.98
15269902,finished,36839,Defensa y Justicia,False,L,0,0,989201,Damián Fernández,D,False,89.0,7.7,,0,0.0,,,0,,,,,,7.0,2.0,,,2.0,13.0,,,3.0,1.0,5.0,13.0,,31.0,41.0,8.0,15.0,,,13.0,0,0,0,0,,,,,,10.0,4.0,1.0,1.0,1.0,,,,0,True,0,0,3.7700000000000005,0.0,1.2626829268292683,0.0,5.148888888888889,0.0,0.0,0.0,0.0,10.181571815718158,10.295971499040833
15269902,finished,36839,Defensa y Justicia,False,L,0,0,909479,David Martínez,D,False,90.0,7.5,,0,0.0,,,1,,,,1.0,,7.0,4.0,3.0,1.0,,8.0,,,3.0,1.0,4.0,7.0,,30.0,41.0,3.0,10.0,,,14.0,0,0,0,0,1.0,1.0,,,,15.0,1.0,2.0,,,,,,0,True,0,0,2.4999999999999996,0.0,1.0609756097560976,0.5,4.54,0.0,0.0,0.0,0.0,8.600975609756098,8.600975609756098
