--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
889,Enzo Salas,ar ARG,FW,CA San Lorenzo,19-328,2006,0.5,0,1,0,0.0,1.91,0.00,0.00,,0,0,Matches,ae36a840
890,Maximiliano Salas,ar ARG,FW,River Plate,28-288,1997,4.4,1,17,6,35.3,3.90,1.38,0.06,0.17,0,0,Matches,c3c12758
891,Maximiliano Salas,ar ARG,FW,Ind. Rivadavia,28-288,1997,3.4,0,8,3,37.5,2.35,0.88,0.00,0.00,0,0,Matches,c3c12758
892,Saúl Salcedo,py PAR,DF,Newell's,29-017,1997,14.0,0,8,3,37.5,0.57,0.21,0.00,0.00,0,0,Matches,6d8fe94c
893,Santiago Salle,ar ARG,MFDF,Sarmiento–J,22-103,2004,17.9,0,8,4,50.0,0.45,0.22,0.00,0.00,0,0,Matches,12357769
894,Oscar Salomón,ar ARG,DF,Newell's,27-177,1999,5.7,2,8,5,62.5,1.41,0.88,0.25,0.40,0,0,Matches,92c77992
895,Eduardo Salvio,ar ARG,MF,Lanús,36-064,1990,18.0,1,35,15,42.9,1.94,0.83,0.03,0.07,0,0,Matches,5f424f35
896,Matías Salvo,ar ARG,DF,Ind. Rivadavia,21-308,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,e46b4b97
897,Adrián Sánchez,ar ARG,MF,Belgrano,27-124,1999,20.7,0,5,1,20.0,0.24,0.05,0.00,0.00,0,0,Matches,bfb67716
898,Brían Sánchez,ar ARG,MF,Dep. Riestra,33-096,1993,4.6,1,6,1,16.7,1.29,0.22,0.17,1.00,0,0,Matches,f14e5e1f
899,Facundo Sánchez,ar ARG,MF,Lanús,21-039,2005,2.1,0,2,1,50.0,0.94,0.47,0.00,0.00,0,0,Matches,348ea312
900,Ulises Sánchez,ar ARG,MF,Gimnasia–M,28-081,1998,9.4,0,19,5,26.3,2.02,0.53,0.00,0.00,0,0,Matches,f11ac2e0
901,Agustín Sández,py PAR,DFMF,Rosario Central,25-242,2001,14.6,0,10,3,30.0,0.68,0.20,0.00,0.00,0,0,Matches,8ccb067e
902,Facundo Sanguinetti,ar ARG,GK,Banfield,25-198,2001,20.0,0,0,0,,0.00,0.00,,,0,0,Matches,2047a087
903,Nicolás Sansotre,ar ARG,DF,Dep. Riestra,33-007,1993,21.5,0,5,1,20.0,0.23,0.05,0.00,0.00,0,0,Matches,e7815a02
904,Thiago Santamaría,ar ARG,DF,Sarmiento–J,23-164,2003,11.2,0,11,3,27.3,0.98,0.27,0.00,0.00,0,0,Matches,c57cc4aa
