--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
987,Milton Valenzuela,ar ARG,DF,Independiente,28-033,1998,3.4,0,4,1,25.0,1.19,0.30,0.00,0.00,0,0,Matches,82318d24
988,Mateo Vales,ar ARG,DF,Aldosivi,19-253,2007,3.2,0,3,0,0.0,0.94,0.00,0.00,,0,0,Matches,0d598c77
989,Mauro Valiente,ar ARG,MFFW,Estudiantes–RC,26-232,2000,10.3,1,16,3,18.8,1.55,0.29,0.06,0.33,0,0,Matches,230d0975
990,Luciano Vallejo,ar ARG,DF,Atlé Tucumán,22-109,2004,12.8,1,7,2,28.6,0.55,0.16,0.14,0.50,0,0,Matches,27653cda
991,Javier Vallejos,ar ARG,GK,C. Córdoba–SdE,23-255,2003,3.5,0,0,0,,0.00,0.00,,,0,0,Matches,8a28ed4b
992,Yoshan Valois,co COL,FW,Lanús,21-346,2004,7.8,4,16,6,37.5,2.06,0.77,0.25,0.67,0,0,Matches,f2c97754
993,Diego Valoyes,co COL,MF,Talleres–C,29-358,1996,3.3,0,7,3,42.9,2.13,0.91,0.00,0.00,0,0,Matches,79e75919
994,Lucas Varaldo,ar ARG,FW,C. Córdoba–SdE,24-203,2002,4.7,0,10,2,20.0,2.14,0.43,0.00,0.00,0,0,Matches,48b7f4fc
995,Lautaro Vargas,ar ARG,DF,Unión,21-226,2005,18.4,0,10,2,20.0,0.54,0.11,0.00,0.00,0,0,Matches,24e2e2a6
996,Matías Vargas,ar ARG,FWMF,Gimnasia–M,29-130,1997,1.5,0,6,1,16.7,4.00,0.67,0.00,0.00,0,0,Matches,ce82f116
997,Franco Vázquez,ar ARG,DF,Arg Juniors,21-256,2005,7.0,0,6,2,33.3,0.86,0.29,0.00,0.00,0,0,Matches,7d931fc4
998,Franco Vázquez,ar ARG,MF,Belgrano,37-205,1989,18.4,2,34,9,26.5,1.85,0.49,0.06,0.22,0,0,Matches,467bae22
999,Ignacio Vázquez,ar ARG,DF,Platense,29-092,1997,18.0,1,13,4,30.8,0.72,0.22,0.08,0.25,1,1,Matches,f228c287
1000,Kevin Vázquez,ar ARG,MF,Ind. Rivadavia,25-180,2001,3.0,0,4,1,25.0,1.32,0.33,0.00,0.00,0,0,Matches,e8af9e8d
1001,César Vega,ar ARG,MF,Atlé Tucumán,22-250,2004,10.8,0,2,0,0.0,0.18,0.00,0.00,,0,0,Matches,c5304db4
1002,Alan Velasco,ar ARG,MFFW,Boca Juniors,24-050,2002,6.5,4,22,7,31.8,3.38,1.08,0.18,0.57,0,0,Matches,16349210
1003,Juan Velazquez,ar ARG,MF,Belgrano,21-300,2004,8.0,0,5,0,0.0,0.63,0.00,0.00,,0,0,Matches,891b9bb8
1004,Alejo Véliz,ar ARG,FW,Rosario Central,22-361,2003,11.2,4,35,14,40.0,3.12,1.25,0.11,0.29,0,1,Matches,3f7bafbe
1005,Fausto Vera,ar ARG,MF,River Plate,26-173,2000,16.0,0,30,6,20.0,1.87,0.37,0.00,0.00,0,0,Matches,8b3b381b
1006,Federico Vera,ar ARG,DF,Huracán,28-175,1998,5.0,0,1,0,0.0,0.20,0.00,0.00,,0,0,Matches,dc93fa94
1007,Matías Vera,ar ARG,MF,C. Córdoba–SdE,30-324,1995,22.1,0,15,3,20.0,0.68,0.14,0.00,0.00,0,0,Matches,fe529f25
1008,Santino Vera,ar ARG,FW,Unión,20-157,2006,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,225e6527
1009,Duván Vergara,co COL,FWMF,Racing Club,30-006,1996,6.6,3,18,11,61.1,2.72,1.66,0.17,0.27,0,0,Matches,7faaf973
1010,Álex Verón,ar ARG,MF,Vélez Sarsfield,17-326,2008,4.0,0,6,4,66.7,1.51,1.01,0.00,0.00,0,0,Matches,c013b830
1011,Elías Verón,ar ARG,DFMF,Rosario Central,19-192,2007,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0,Matches,9523ce55
1012,Gastón Verón,ar ARG,FW,Arg Juniors,25-145,2001,5.9,4,28,9,32.1,4.76,1.53,0.14,0.44,0,0,Matches,e5a62424
1013,Manuel Vicentini,ar ARG,GK,Belgrano,36-149,1990,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,a949c8a0
1014,Luciano Vietto,ar ARG,MFFW,CA San Lorenzo,32-284,1993,5.4,2,12,6,50.0,2.24,1.12,0.17,0.33,0,0,Matches,2513a588
1015,Alex Vigo,ar ARG,DF,Talleres–C,27-140,1999,4.2,0,3,1,33.3,0.72,0.24,0.00,0.00,0,0,Matches,1d8d182c
1016,Alex Vigo,ar ARG,DF,Ind. Rivadavia,27-140,1999,3.1,0,0,0,,0.00,0.00,,,0,0,Matches,1d8d182c
1017,Maximiliano Villa,uy URU,DF,Atlé Tucumán,29-196,1997,15.0,1,9,3,33.3,0.60,0.20,0.11,0.33,0,0,Matches,b42ba8cd
1018,Sebastián Villa,co COL,MFFW,Boca Juniors,30-119,1996,4.3,0,9,2,22.2,2.11,0.47,0.00,0.00,0,0,Matches,df454699
1019,Sebastián Villa,co COL,FWMF,Ind. Rivadavia,30-119,1996,11.6,0,31,9,29.0,2.68,0.78,0.00,0.00,0,0,Matches,df454699
1020,Carlos Villalba,ar ARG,MF,Sarmiento–J,28-058,1998,5.9,1,12,6,50.0,2.05,1.02,0.08,0.17,0,0,Matches,24a99c0e
1021,Iván Villalba,py PAR,DF,Ind. Rivadavia,31-239,1995,18.4,0,9,3,33.3,0.49,0.16,0.00,0.00,0,0,Matches,3f66660b
1022,Juan Villalba,ar ARG,DF,Tigre,20-184,2006,6.2,0,4,0,0.0,0.65,0.00,0.00,,0,0,Matches,ba8b91f4
1023,Alejandro Villareal,co COL,FWMF,Aldosivi,21-049,2005,2.7,0,6,0,0.0,2.26,0.00,0.00,,0,0,Matches,4e40d555
1024,Santiago Villarreal,ar ARG,MF,Gimnasia–LP,20-299,2005,0.6,0,1,0,0.0,1.73,0.00,0.00,,0,0,Matches,ada762eb
1025,Lautaro Villegas,ar ARG,MF,Banfield,22-259,2003,10.6,0,4,1,25.0,0.38,0.09,0.00,0.00,0,0,Matches,f101aa59
1026,Matías Viña,uy URU,DFMF,River Plate,28-310,1997,4.5,0,6,1,16.7,1.34,0.22,0.00,0.00,0,0,Matches,08eb3b58
1027,Sergio Vittor,ar ARG,DF,Banfield,37-098,1989,11.2,0,3,1,33.3,0.27,0.09,0.00,0.00,0,0,Matches,7abfa435
1028,Emiliano Viveros,ar ARG,FWMF,Arg Juniors,23-350,2002,9.9,1,14,4,28.6,1.41,0.40,0.07,0.25,0,0,Matches,5b12c37d
1029,Andrés Vombergar,si SVN,FWMF,Aldosivi,31-299,1994,5.6,4,20,8,40.0,3.54,1.42,0.20,0.50,0,0,Matches,71910d3e
1030,Facundo Waller,uy URU,MF,Huracán,29-159,1997,15.4,2,18,6,33.3,1.17,0.39,0.11,0.33,0,0,Matches,d3b58aaa
1031,Franco Watson,ar ARG,MFFW,Lanús,26-257,2000,8.2,0,20,7,35.0,2.43,0.85,0.00,0.00,0,0,Matches,0d7ad669
1032,Nicólas Watson,ar ARG,MFDF,Dep. Riestra,28-116,1998,10.9,0,4,1,25.0,0.37,0.09,0.00,0.00,0,0,Matches,600cb6b1
1033,Marcelo Weigandt,ar ARG,DF,Boca Juniors,26-247,2000,8.1,0,3,1,33.3,0.37,0.12,0.00,0.00,0,0,Matches,ac106741
1034,Axel Werner,ar ARG,GK,Rosario Central,30-199,1996,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,c0b1a6da
1035,Axel Werner,ar ARG,GK,Aldosivi,30-199,1996,15.0,0,0,0,,0.00,0.00,,,0,0,Matches,c0b1a6da
1036,Allan Wlk,py PAR,FW,Lanús,23-198,2003,5.5,3,19,11,57.9,3.48,2.01,0.16,0.27,0,0,Matches,de9f8159
1037,Cristian Zabala,ar ARG,MF,Sarmiento–J,28-195,1998,23.1,1,11,2,18.2,0.48,0.09,0.09,0.50,0,0,Matches,bb967f0b
1038,Facundo Zabala,ar ARG,DF,Independiente,27-256,1999,21.6,0,17,4,23.5,0.79,0.19,0.00,0.00,0,0,Matches,2f2475da
1039,David Zalazar,ar ARG,MF,Banfield,24-129,2002,11.9,1,34,9,26.5,2.87,0.76,0.03,0.11,0,0,Matches,4aeb00f4
1040,Maximiliano Zalazar,ar ARG,MF,Gimnasia–LP,25-191,2001,4.8,1,23,6,26.1,4.84,1.26,0.04,0.17,0,0,Matches,e374a7f5
1041,Nicolás Zalazar,ar ARG,DF,Aldosivi,29-229,1997,19.0,0,16,3,18.8,0.84,0.16,0.00,0.00,0,0,Matches,e2c0f4bf
1042,Franco Zapiola,ar ARG,MF,Platense,25-208,2001,16.6,2,43,15,34.9,2.59,0.90,0.05,0.13,0,0,Matches,7b0f7577
1043,Federico Zaracho,ar ARG,MF,Racing Club,28-189,1998,10.8,2,18,6,33.3,1.67,0.56,0.11,0.33,0,0,Matches,803d5265
1044,Sebastián Zaracho,py PAR,DF,Rosario Central,27-238,1999,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,a057d59b
1045,Exequiel Zeballos,ar ARG,FWMF,Boca Juniors,24-144,2002,5.1,1,10,6,60.0,1.97,1.18,0.10,0.17,0,0,Matches,02f9fb61
1046,Gonzalo Zelarayán,ar ARG,FW,Belgrano,22-140,2004,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,e214af7f
1047,Lucas Zelarayán,am ARM,MFFW,Belgrano,34-087,1992,18.3,4,44,15,34.1,2.40,0.82,0.09,0.27,0,0,Matches,3ce30893
1048,Felipe Zenobio,ar ARG,GK,Tigre,26-116,2000,23.0,0,0,0,,0.00,0.00,,,0,0,Matches,21faad0e
1049,Kevin Zenon,ar ARG,MFFW,Boca Juniors,25-047,2001,4.2,1,10,6,60.0,2.40,1.44,0.10,0.17,0,0,Matches,8f0d8b0a
1050,Bruno Zuculini,ar ARG,MF,Racing Club,33-166,1993,6.3,0,3,0,0.0,0.47,0.00,0.00,,0,0,Matches,17cddb4d
1051,Iker Zufiaurre,ar ARG,FW,Boca Juniors,21-039,2005,2.4,1,4,1,25.0,1.65,0.41,0.25,1.00,0,0,Matches,e5e08d06


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/21/shooting/Liga-Profesional-Argentina-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_shooting">View Original Table</a><br>Generated 9/15/2026.
