,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,Facundo Altamira,,MF,Defensa,,,6,1,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5bf873f8
35,Agustín Álvarez,uy URU,FW,Talleres–C,25-119,2001,4,4,275,3.1,2,1,3,1,1,1,0,0,0.65,0.33,0.98,0.33,0.65,Matches,ab472696
36,Emiliano Álvarez,uy URU,DF,Unión,25-221,2001,4,0,77,0.9,0,1,1,0,0,0,0,0,0.00,1.17,1.17,0.00,1.17,Matches,a7d668f3
37,Fabio Álvarez,ar ARG,MF,Banfield,33-235,1993,6,2,168,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2aae3ff2
38,Federico Álvarez,ar ARG,DF,Tigre,32-039,1994,19,15,1402,15.6,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,32a9f0f0
39,Francisco Álvarez,ar ARG,DF,Arg Juniors,26-201,2000,24,24,2153,23.9,2,0,2,2,0,0,9,0,0.08,0.00,0.08,0.08,0.08,Matches,1990d38d
40,Juan Álvarez,ar ARG,FWMF,Gimnasia–M,30-217,1996,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c50934e
41,Juan Álvarez,ar ARG,MF,CA San Lorenzo,30-217,1996,4,4,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c50934e
42,Franco Amarfil,ar ARG,MF,Platense,25-188,2001,16,14,1115,12.4,0,1,1,0,0,0,7,0,0.00,0.08,0.08,0.00,0.08,Matches,7ca68313
43,Mikel Amondarain,ar ARG,MF,Estudiantes–LP,21-252,2005,15,10,1047,11.6,2,1,3,2,0,0,2,0,0.17,0.09,0.26,0.17,0.26,Matches,95cf8804
44,Emiliano Amor,sy SYR,DF,Defensa,31-122,1995,15,15,1304,14.5,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,3fc6c051
45,Emiliano Amor,sy SYR,DF,CA San Lorenzo,31-122,1995,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3fc6c051
46,Brian Andrada,ar ARG,FWMF,Gimnasia–M,29-085,1997,8,3,273,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d4c074a
47,Tobías Andrada,ar ARG,MF,Vélez Sarsfield,19-225,2007,16,16,1436,16.0,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Matches,ac9ba4dd
48,Tobías Andrada,ar ARG,MF,River Plate,19-225,2007,6,6,477,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,ac9ba4dd
49,Luis Angulo,co COL,MF,Talleres–C,22-176,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,88ad94f7
50,Federico Anselmo,ar ARG,FW,Banfield,32-151,1994,9,0,137,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c292fc1d
51,Felipe Anso,ar ARG,MF,Aldosivi,19-191,2007,6,6,434,4.8,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,5ac4cd95
52,Fermín Antonini,ar ARG,MF,Gimnasia–M,29-075,1997,21,19,1465,16.3,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches,09dab107
53,Juan Antonini,ar ARG,DF,Estudiantes–RC,27-195,1999,14,12,1132,12.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,cdca8983
54,Dylan Aquino,ar ARG,MF,Lanús,21-103,2005,19,8,830,9.2,6,2,8,6,0,0,4,0,0.65,0.22,0.87,0.65,0.87,Matches,dababecf
55,Mauro Arambarri,uy URU,MF,River Plate,30-350,1995,5,1,112,1.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,58afe001
56,Tomás Aranda,ar ARG,MFFW,Boca Juniors,19-129,2007,19,11,1085,12.1,1,3,4,1,0,0,2,0,0.08,0.25,0.33,0.08,0.33,Matches,85b1236c
57,Danilo Arboleda,co COL,DF,CA San Lorenzo,31-122,1995,6,6,540,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,df418fc0
58,Danilo Arboleda,co COL,DF,Banfield,31-122,1995,16,16,1374,15.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,df418fc0
59,Iván Arboleda,co COL,GK,Sarmiento–J,30-147,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f8cfae1f
60,Álex Arce,py PAR,FW,Ind. Rivadavia,31-091,1995,18,10,1094,12.2,9,1,10,7,2,3,5,0,0.74,0.08,0.82,0.58,0.66,Matches,10411db2
