,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
143,Néstor Breitenbruch,ar ARG,DF,Aldosivi,31-002,1995,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,44b130dc
144,Leandro Brey,ar ARG,GK,Boca Juniors,23-359,2002,6,5,459,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0827937d
145,Norberto Briasco,am ARM,FW,Barracas Central,30-198,1996,16,11,872,9.7,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,b47b5b30
146,Manuel Brondo,ar ARG,FW,Atlé Tucumán,24-202,2002,12,2,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,595add88
147,Jorge Broun,ar ARG,GK,Rosario Central,40-112,1986,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6503ae16
148,Facundo Bruera,ar ARG,FW,Barracas Central,27-357,1998,21,15,1363,15.1,1,1,2,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches,8d7881e1
149,Lucas Bruera,ar ARG,GK,Estudiantes–RC,28-331,1997,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c8a8a64
150,Leonel Bucca,ar ARG,MFDF,Ind. Rivadavia,27-179,1999,14,6,522,5.8,4,0,4,4,0,0,0,0,0.69,0.00,0.69,0.69,0.69,Matches,c2d7780d
151,Ezequiel Burdín,uy URU,DF,Defensa,21-334,2004,3,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c195263
152,Joaquín Burgos,ar ARG,MF,Estudiantes–LP,21-275,2004,17,10,802,8.9,1,3,4,1,0,0,0,0,0.11,0.34,0.45,0.11,0.45,Matches,e8a7b528
153,Javier Burrai,ec ECU,GK,Sarmiento–J,35-341,1990,16,16,1440,16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,24bfa4d8
154,Felipe Bussio,ar ARG,MF,Platense,22-091,2004,12,7,581,6.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a1206ad0
155,Fabricio Bustos,ar ARG,DF,River Plate,30-140,1996,3,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82549f54
156,Luciano Cabral,cl CHI,MF,Independiente,31-142,1995,12,2,270,3.0,1,0,1,1,0,0,1,1,0.33,0.00,0.33,0.33,0.33,Matches,f49fd6b5
157,Alejandro Cabrera,ar ARG,MF,Estudiantes–RC,33-350,1992,15,13,1070,11.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,8668884d
158,Bruno Cabrera,ar ARG,DF,Newell's,29-140,1997,12,8,699,7.8,1,0,1,1,0,0,2,1,0.13,0.00,0.13,0.13,0.13,Matches,7712406d
159,Bruno Cabrera,ar ARG,MF,Lanús,23-086,2003,8,2,303,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,548ffe4c
160,Elías Cabrera,ar ARG,MF,Tigre,23-202,2003,13,8,714,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4874cad4
161,Marcelo Cabrera,ar ARG,DF,Rosario Central,20-005,2006,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9e6fb88c
162,Máximo Cabrera,ar ARG,GK,Gimnasia–LP,20-019,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,777077ec
163,Darío Cáceres,py PAR,DFMF,C. Córdoba–SdE,28-232,1998,6,6,517,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,18637ecc
164,Darío Cáceres,py PAR,MFDF,Defensa,28-232,1998,8,3,308,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18637ecc
165,Mateo Caceres,ar ARG,MF,Talleres–C,23-355,2002,14,7,647,7.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,afc7a109
166,Jordy Caicedo,ec ECU,FW,Huracán,28-301,1997,22,22,1902,21.1,13,0,13,10,3,3,10,1,0.62,0.00,0.62,0.47,0.47,Matches,7fcb27d8
167,Franco Calderón,ar ARG,DF,Independiente,28-125,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,838dea0a
168,Facundo Cambeses,ar ARG,GK,Racing Club,29-159,1997,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0a7c2b06
169,Jaminton Campaz,co COL,MF,Rosario Central,26-114,2000,19,14,1307,14.5,3,4,7,3,0,0,0,0,0.21,0.28,0.48,0.21,0.48,Matches,8d5ceef2
170,Gastón Campi,ar ARG,DF,Barracas Central,35-162,1991,9,7,654,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,74223a01
171,Alberto Campo,ec ECU,FW,Racing Club,20-001,2006,3,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a474595b
172,Ignacio Campo,ar ARG,DF,Huracán,21-169,2005,10,7,614,6.8,1,1,2,1,0,0,4,0,0.15,0.15,0.29,0.15,0.29,Matches,db8c83e8
173,José Canale,py PAR,DF,Lanús,30-057,1996,17,17,1485,16.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,97d24b73
174,Jhonatan Candia,uy URU,FW,Barracas Central,31-184,1995,22,12,1049,11.7,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,a62813d2
175,Alexis Canelo,ar ARG,FWMF,Atlé Tucumán,34-224,1992,4,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa828ce6
176,Ezequiel Cannavo,ar ARG,DF,Racing Club,24-095,2002,22,21,1863,20.7,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,134bd6e4
177,Lautaro Cano,ar ARG,DFMF,Banfield,24-024,2002,3,3,214,2.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,95d76060
178,Giovanni Cantizano,ar ARG,MF,Rosario Central,19-178,2007,9,6,531,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,75bb4606
179,Nicolás Capraro,ar ARG,DF,Barracas Central,28-196,1998,18,11,1134,12.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d64d46e4
180,Valentin Carboni,ar ARG,FW,Racing Club,21-194,2005,5,3,202,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,707b98f1
181,Mauricio Cardillo,ar ARG,MF,CA San Lorenzo,23-188,2003,9,2,308,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8681ad73
182,Agustín Cardozo,ar ARG,MF,Lanús,29-108,1997,21,21,1874,20.8,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,1b677f5e
183,Juan Cardozo,py PAR,MF,C. Córdoba–SdE,22-203,2004,10,5,524,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e68bce6e
184,Thiago Cardozo,uy URU,GK,Belgrano,30-046,1996,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d99c8e00
185,Lautaro Carrera,ar ARG,DF,Gimnasia–M,23-108,2003,13,5,609,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0cc742f4
186,Ramiro Carrera,ar ARG,MFFW,Lanús,32-326,1993,21,16,1258,14.0,2,4,6,2,0,0,9,1,0.14,0.29,0.43,0.14,0.43,Matches,44c271db
187,Guido Carrillo,ar ARG,FW,Estudiantes–LP,35-113,1991,19,14,1323,14.7,3,2,5,3,0,1,0,0,0.20,0.14,0.34,0.20,0.34,Matches,8f898ba8
188,Facundo Carrizo,ar ARG,FW,Arg Juniors,19-107,2007,3,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d4f563a
189,Lucas Carrizo,ar ARG,DF,Newell's,29-118,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2bfc68c3
190,Lucas Carrizo,ar ARG,DFMF,Huracán,29-118,1997,14,11,1090,12.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2bfc68c3
191,Maher Carrizo,ar ARG,MF,Vélez Sarsfield,20-208,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ce60d15
192,Yuri Casermeiro,ar ARG,DF,C. Córdoba–SdE,24-187,2002,11,6,658,7.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,37236393
193,Kevin Castaño,co COL,MF,River Plate,25-351,2000,5,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c393c3d9
194,Rodrigo Castillo,ar ARG,FW,Lanús,27-201,1999,5,4,358,4.0,1,3,4,1,0,0,0,0,0.25,0.75,1.01,0.25,1.01,Matches,da71df54
195,Alexis Castro,ar ARG,MF,Estudiantes–LP,31-332,1994,23,13,1154,12.8,4,0,4,4,0,0,3,0,0.31,0.00,0.31,0.31,0.31,Matches,94e40a9f
196,Lucas Castro,ar ARG,MF,Gimnasia–LP,37-159,1989,11,3,295,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56b2957b
197,Lucas Castro,ar ARG,MF,Aldosivi,37-159,1989,9,9,716,8.0,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,56b2957b
198,Matías Catalán,cl CHI,DF,Talleres–C,34-027,1992,19,18,1548,17.2,0,2,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,e7eab8e7
199,Edinson Cavani,uy URU,FW,Boca Juniors,39-213,1987,2,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,527f063d
200,Julián Ceballos,ar ARG,MFFW,Gimnasia–M,22-002,2004,12,8,699,7.8,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,4902f18b
201,Milton Céliz,ar ARG,MF,Dep. Riestra,34-052,1992,9,9,810,9.0,1,0,1,0,1,1,3,0,0.11,0.00,0.11,0.00,0.00,Matches,92a6cccf
202,Giuliano Cerato,ar ARG,MFDF,Instituto,28-097,1998,25,25,2217,24.6,5,1,6,5,0,0,7,0,0.20,0.04,0.24,0.20,0.24,Matches,f88ec6d6
203,Valentín Cerrudo,ar ARG,FW,Unión,20-182,2006,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,67e769b4
204,Ezequiel Cerutti,ar ARG,MFFW,CA San Lorenzo,34-241,1992,7,6,427,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,635c9552
205,Franco Cervi,ar ARG,FWMF,Rosario Central,32-112,1994,1,0,20,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e1028e5
206,Edwuin Cetré,co COL,MFFW,Estudiantes–LP,28-257,1998,20,8,919,10.2,0,2,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches,9e81aaf7
207,Juan Chala,co COL,FW,Estudiantes–RC,22-195,2004,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,830c2fb3
208,Timoteo Chamorro,ar ARG,MF,Talleres–C,20-219,2006,10,6,569,6.3,0,2,2,0,0,0,2,0,0.00,0.32,0.32,0.00,0.32,Matches,8d938a21
209,Ignacio Charparin,ar ARG,FWMF,Gimnasia–M,27-056,1999,13,7,738,8.2,1,2,3,1,0,0,1,0,0.12,0.24,0.37,0.12,0.37,Matches,062673d9
210,Andrés Chávez,ar ARG,FW,Aldosivi,35-178,1991,7,1,161,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3e3ee8f7
211,Emiliano Chiavassa,ar ARG,MF,Talleres–C,20-256,2006,9,1,157,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ce797009
212,Ignacio Chicco,ar ARG,GK,Aldosivi,30-077,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3723f64a
213,Diego Churín,ar ARG,FWMF,Sarmiento–J,36-288,1989,21,8,824,9.2,2,0,2,1,1,1,2,1,0.22,0.00,0.22,0.11,0.11,Matches,875ac6e9
214,Luciano Cingolani,ar ARG,MFFW,Gimnasia–M,25-162,2001,16,6,770,8.6,1,1,2,1,0,0,4,0,0.12,0.12,0.23,0.12,0.23,Matches,93f1acf1
215,Facundo Cobos,ar ARG,DFMF,Estudiantes–RC,33-208,1993,12,8,749,8.3,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches,5d88b1cf
216,Matías Cóccaro,uy URU,FWMF,Newell's,28-304,1997,17,14,1053,11.7,6,0,6,5,1,1,3,0,0.51,0.00,0.51,0.43,0.43,Matches,caed0767
217,Agustín Colazo,ar ARG,FW,Gimnasia–LP,25-304,2000,6,2,274,3.0,2,0,2,2,0,0,0,0,0.66,0.00,0.66,0.66,0.66,Matches,89fd5410
218,Agustín Colazo,ar ARG,FW,Unión,25-304,2000,6,2,183,2.0,1,0,1,1,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches,89fd5410
219,Nicolás Colazo,ar ARG,MF,Banfield,36-069,1990,3,2,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,161b89a2
220,Facundo Colidio,ar ARG,FWMF,River Plate,26-254,2000,15,12,977,10.9,3,1,4,3,0,0,1,1,0.28,0.09,0.37,0.28,0.37,Matches,69a6523a
221,Nazareno Colombo,ar ARG,DF,Racing Club,27-179,1999,12,8,675,7.5,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,8127de9b
222,Gabriel Compagnucci,ar ARG,MFDF,Atlé Tucumán,35-017,1991,16,4,400,4.4,0,2,2,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,Matches,9d3e62ff
223,Tomás Conechny,ar ARG,FWMF,Racing Club,28-169,1998,23,11,1118,12.4,3,2,5,3,0,0,2,0,0.24,0.16,0.40,0.24,0.40,Matches,f61143dd
224,Germán Conti,ar ARG,DF,Gimnasia–LP,32-104,1994,7,6,510,5.7,1,0,1,1,0,0,2,1,0.18,0.00,0.18,0.18,0.18,Matches,7b18b6db
225,Julián Contrera,ar ARG,MF,Sarmiento–J,23-128,2003,21,15,1263,14.0,0,2,2,0,0,0,8,0,0.00,0.14,0.14,0.00,0.14,Matches,707ba477
226,Enzo Copetti,ar ARG,FWMF,Rosario Central,30-242,1996,21,11,1089,12.1,4,1,5,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,Matches,a535dbc6
227,Nicolás Cordero,ar ARG,FW,Aldosivi,27-157,1999,20,13,1190,13.2,2,0,2,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,78f10ec0
228,Alejo Córdoba,ar ARG,DF,CA San Lorenzo,22-131,2004,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ceb75145
229,Jhon Córdoba,co COL,MFFW,Instituto,26-062,2000,21,20,1382,15.4,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,fdac9284
230,Alan Coria,ar ARG,MF,Defensa,19-089,2007,4,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,994d6133
231,Emanuel Coronel,ar ARG,DF,Rosario Central,29-226,1997,19,15,1249,13.9,0,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00,Matches,e5aa6459
232,Kevin Coronel,ar ARG,DF,Arg Juniors,22-035,2004,16,14,1193,13.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d52da527
233,Ángel Correa,ar ARG,MFFW,River Plate,31-190,1995,8,7,610,6.8,3,1,4,2,1,1,0,0,0.44,0.15,0.59,0.30,0.44,Matches,01eb744d
234,Joaquín Correa,ar ARG,MF,Estudiantes–LP,32-033,1994,5,2,270,3.0,0,1,1,0,0,1,2,0,0.00,0.33,0.33,0.00,0.33,Matches,45b9b619
235,Juan Cortazzo,ar ARG,DF,Gimnasia–LP,20-332,2005,12,3,408,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a01ac08d
236,Brayan Cortés,cl CHI,GK,Arg Juniors,31-188,1995,25,25,2250,25.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,51079959
237,Oscar Cortés,co COL,MFFW,Huracán,22-286,2003,23,22,1775,19.7,2,4,6,2,0,0,3,0,0.10,0.20,0.30,0.10,0.30,Matches,d2c12fe0
238,Ismael Cortéz,ar ARG,DF,Gimnasia–M,24-257,2002,7,2,277,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1baae639
239,Guzmán Corujo,uy URU,DF,CA San Lorenzo,30-044,1996,5,3,284,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c6051ad
240,Ayrton Costa,ar ARG,DF,Boca Juniors,27-065,1999,16,15,1305,14.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,3f831989
241,Leonard Costa,uy URU,DF,Ind. Rivadavia,28-018,1998,22,21,1676,18.6,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches,2879e7a6
242,Juan Cozzani,ar ARG,GK,Platense,27-341,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe1e4971
243,Tiago Cravero,ar ARG,MF,C. Córdoba–SdE,23-347,2002,17,8,826,9.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,00e81ca0
244,Diego Crego,ar ARG,FWDF,Ind. Rivadavia,29-239,1997,11,4,428,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,563117a5
245,Franco Cristaldo,ar ARG,MFFW,Talleres–C,30-031,1996,17,16,1255,13.9,1,2,3,1,0,0,1,0,0.07,0.14,0.22,0.07,0.22,Matches,25b26e2e
246,Facundo Cruz,ar ARG,MF,Independiente,20-116,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f005ec5
247,Juan Cruz Policella,ar ARG,MF,Vélez Sarsfield,17-043,2009,3,2,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e30bc3d0
248,Alexis Cuello,ar ARG,FWMF,CA San Lorenzo,26-209,2000,25,25,2157,24.0,5,3,8,4,1,2,9,1,0.21,0.13,0.33,0.17,0.29,Matches,0bf6b89a
249,Brian Cuello,ar ARG,MF,Unión,28-350,1997,18,14,1005,11.2,3,1,4,3,0,0,5,0,0.27,0.09,0.36,0.27,0.36,Matches,f22503a8
250,Víctor Cuesta,ar ARG,DF,Platense,37-300,1988,15,15,1350,15.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,39fb428f
251,Braian Cufré,ar ARG,DF,Aldosivi,29-274,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,192c89a6
252,Martín Cuitiño,ar ARG,FW,C. Córdoba–SdE,21-119,2005,2,0,39,0.4,1,0,1,1,0,0,0,0,2.31,0.00,2.31,2.31,2.31,Matches,5fa1935f
253,Mauro Da Luz,uy URU,FWMF,Aldosivi,31-314,1994,3,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,537c6b97
254,Juan Dadin,ar ARG,MFFW,Aldosivi,20-118,2006,6,3,214,2.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3148408c
255,Juan Dadin,ar ARG,FW,Ind. Rivadavia,20-118,2006,6,0,104,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3148408c
256,Santiago Dalmasso,ar ARG,MF,Platense,22-089,2004,6,0,119,1.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a2f24dc6
257,Santiago Daniele,ar ARG,DF,Banfield,20-297,2005,10,6,702,7.8,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,beb8f099
258,Jonathan David Gómez,ar ARG,MFFW,Sarmiento–J,36-268,1989,12,6,508,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.35,0.18,0.35,Matches,c911d311
259,Héctor David Martínez,py PAR,DF,Defensa,28-237,1998,19,19,1559,17.3,1,1,2,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,Matches,03d0ea9a
260,Álvaro David Montero,co COL,GK,Vélez Sarsfield,31-170,1995,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e3dbaa5
261,Álvaro David Montero,co COL,GK,Boca Juniors,31-170,1995,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e3dbaa5
262,Valentín Dávila,ar ARG,FW,Talleres–C,19-239,2007,23,4,727,8.1,4,0,4,4,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,ca72c04e
263,Hernán De La Fuente,ar ARG,DF,Instituto,29-251,1997,3,0,67,0.7,1,0,1,1,0,0,0,0,1.34,0.00,1.34,1.34,1.34,Matches,035db54d
264,Facundo De La Vega,ar ARG,FW,Aldosivi,23-153,2003,5,1,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7445fe34
265,Mathías De Ritis,uy URU,DFMF,CA San Lorenzo,23-227,2003,17,15,1156,12.8,0,2,2,0,0,0,6,0,0.00,0.16,0.16,0.00,0.16,Matches,d2e6d986
266,Ronaldo Dejesús,py PAR,DF,Lanús,25-147,2001,16,11,1044,11.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,fb591f74
267,Mateo Del Blanco,ar ARG,DFMF,Unión,22-319,2003,16,16,1393,15.5,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches,85e0feab
268,Gustavo Del Prete,ar ARG,FWMF,CA San Lorenzo,30-095,1996,3,0,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,839ac4ea
269,Carlos Delgado,py PAR,FW,Sarmiento–J,23-309,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,345b1400
270,Milton Delgado,ar ARG,MF,Boca Juniors,21-091,2005,21,16,1380,15.3,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,947949f1
271,Nicolás Demartini,ar ARG,DF,Barracas Central,26-315,1999,18,18,1595,17.7,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,328cb061
272,Valentín Depietri,ar ARG,MFFW,Talleres–C,25-319,2000,18,8,841,9.3,4,1,5,4,0,0,2,0,0.43,0.11,0.54,0.43,0.54,Matches,d02cb5d7
273,José Devecchi,ar ARG,GK,CA San Lorenzo,31-068,1995,8,7,658,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5d448a04
274,Marco Di Cesare,ar ARG,DF,Racing Club,24-228,2002,15,13,1171,13.0,2,0,2,2,0,0,7,1,0.15,0.00,0.15,0.15,0.15,Matches,28c96f20
275,Lautaro Di Lollo,ar ARG,DF,Boca Juniors,22-189,2004,19,18,1633,18.1,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,7b58c3c3
276,Ángel Di María,ar ARG,MF,Rosario Central,38-213,1988,19,16,1458,16.2,7,3,10,4,3,3,4,0,0.43,0.19,0.62,0.25,0.43,Matches,19cda00b
277,Leonel Di Plácido,ar ARG,DF,Atlé Tucumán,32-230,1994,14,12,1057,11.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,a5e7e6dd
278,Alexander Díaz,ar ARG,FWMF,Dep. Riestra,26-177,2000,19,14,1127,12.5,2,0,2,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,4032a5b0
279,Diego Díaz,ar ARG,FW,Unión,24-248,2002,6,0,100,1.1,1,0,1,1,0,0,0,0,0.90,0.00,0.90,0.90,0.90,Matches,b3b92d75
280,Gabriel Díaz,ar ARG,MFDF,Sarmiento–J,26-149,2000,10,5,435,4.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,a6eff0a3
281,Lautaro Díaz,ar ARG,FW,Racing Club,28-117,1998,7,6,464,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28b89ba7
282,Leandro Díaz,ar ARG,FW,Atlé Tucumán,34-101,1992,20,18,1495,16.6,7,1,8,4,3,5,3,0,0.42,0.06,0.48,0.24,0.30,Matches,3fee512a
283,Luis Díaz,co COL,FWMF,Ind. Rivadavia,22-175,2004,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,81932e2e
284,Paulo Díaz,cl CHI,DF,River Plate,32-021,1994,5,2,197,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3906e923
285,Jerónimo Domina,ar ARG,FW,Tigre,20-333,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25da3c90
286,Demián Domínguez,ar ARG,DF,Defensa,20-244,2006,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,342c9317
287,Franco Dominguez,,FW,Estudiantes–LP,,,4,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,efff0133
288,Javier Dominguez,py PAR,MF,Atlé Tucumán,26-112,2000,12,9,686,7.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c9b26e83
289,Alejo Dramisino,ar ARG,MF,Dep. Riestra,26-149,2000,4,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17682846
290,Sebastián Driussi,ar ARG,FWMF,River Plate,30-218,1996,16,15,1078,12.0,5,0,5,5,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,60e86875
291,Gaspar Duarte,ar ARG,MFFW,Rosario Central,23-252,2003,12,5,425,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b0c4832b
292,Lautaro Duarte,ar ARG,MF,Dep. Riestra,21-176,2005,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,473004fb
